a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,0:0,0,莱顿东方,0,0,2,3.6,2,0,3,-5.6,1,2.5,5,13.0,4,-8.3,4,-10.0,0,0,0,0,0,0,3,-13.7,2.5999999999999996,5.199999999999999,10.0,4.35,3.15,3.4,6.15,13.0,22.0,36.0,2.4,3.05,2.88,3.05,2.2,0.8499999999999996,2.2,0,3.75,0,0,1.51,5.0,维冈竞技,,2038746,,10.0,8.75,15.0,40.0,7.1,6.0,9.0,25.0,10.0,7.75,13.0,35.0,22.0,16.0,28.0,60.0,,,,2.0,0.8,2.6,强(防守强化),大球,"0,1",,,,,,,,,"3,4,6",1.0,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰甲级联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰甲级联赛
2.4,2:1,3,米尔沃尔,0,0,2,1.8,1,1.4,2,4.4,3,-4.1,1,1.2,1,-7.1,1,-9.5,0,0,0,0,0,0,0,0,2.3,4.6,15.0,5.8,3.75,3.55,4.7,8.1,13.0,19.0,2.2,3.82,3.95,3.95,1.63,2.3200000000000003,1.63,0,3.35,0,0,2.0,3.02,米德尔斯堡,,2038783,,15.0,12.0,24.0,70.0,8.0,7.0,11.0,36.0,8.0,7.0,12.5,32.0,13.0,12.0,22.0,50.0,,,,1.6,0.8,2.3,中,大球,"0,1",,,,,,,,,"3,4,5",1.6,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.0,1:0,1,布莱克本,2,16.7,2,6.1,3,4.8,3,1.4,1,-6.3,3,-23.1,2,-17.4,2,-20.0,0,0,0,0,0,0,3,12.2,1.9,3.8,10.5,4.35,3.25,3.75,6.0,10.0,19.0,28.0,1.8,3.6,4.65,4.65,1.57,3.08,1.57,0,3.12,0,0,2.08,3.05,伯明翰,,2038784,,10.5,12.5,25.0,60.0,6.0,6.0,13.0,37.0,8.0,7.25,14.0,45.0,12.5,12.0,26.0,70.0,,,,0.8,1.2,1.9,弱,大球,"0,1",,,,,,,,,"0,1,2",0.6,1.2,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.6,2:1,3,沃特福德,1,10.0,3,11.1,3,9.2,2,0,3,-13.8,2,-13.6,2,-15.0,2,-16.7,0,0,0,0,0,0,0,0,3.1,6.2,11.0,5.0,3.55,3.6,5.0,9.5,17.0,25.0,3.6,2.94,2.57,2.94,2.5,0.43999999999999995,2.5,1.0,4.25,0,1,5.9,1.38,女王公园巡游者,,2038785,,11.0,8.25,12.5,29.0,8.0,5.75,8.25,20.0,11.5,8.2,11.5,28.0,28.0,19.0,27.0,55.0,,,,1.4,1.2,3.1,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",1.8,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.8,1:1,2,朴次茅斯,2,20.0,2,13.1,2,4.8,1,2.8,3,-13.9,3,-16.7,2,-18.2,2,-28.6,0,0,0,0,0,0,4,8.2,2.4,4.8,12.0,4.75,3.3,3.7,5.25,10.0,18.0,25.0,2.0,3.1,3.72,3.72,1.86,1.86,1.86,0,3.55,0,0,1.71,3.8,诺维奇,,2038786,,12.0,9.5,18.0,50.0,6.75,6.0,10.5,28.0,8.25,7.0,13.0,38.0,16.0,14.0,28.0,60.0,,,,0.6,2.2,2.4,0球区间铁律,小球,"0,2",,,,,,,,,"0,2",1.0,1.0,0,"['首选0球(变0%,n=2)', '双选0球+2球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
3.2,2:2,4,雷克斯汉姆,0,0,1,7.1,3,3.2,3,2.8,1,-1.6,3,-12.5,2,-18.2,3,-22.9,0,0,0,0,0,0,1,-2.1,2.7,5.4,10.0,4.5,3.25,3.7,6.0,10.5,18.0,27.0,2.2,3.11,3.15,3.15,2.04,1.1099999999999999,2.04,0,3.7,0,0,1.58,4.43,西布罗姆维奇,,2038787,,10.0,8.75,16.0,45.0,6.5,5.9,10.0,28.0,8.75,7.25,13.0,35.0,18.0,15.0,28.0,70.0,,,,1.6,1.6,2.7,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
3.2,0:0,0,拉瓦勒,1,6.2,0,0,1,4.9,0,0,1,-6.4,1,-10.0,1,-7.1,1,-11.1,0,0,0,0,0,0,2,1.1,2.3,4.6,8.5,3.7,3.2,3.8,6.55,13.5,26.0,40.0,1.4,3.45,5.4,5.4,1.53,3.87,1.53,0,2.88,0,0,2.13,3.2,圣旺红星,,2038789,,8.5,11.0,27.0,90.0,5.2,6.5,16.0,60.0,6.25,7.0,18.0,70.0,11.5,13.0,30.0,90.0,,,,1.4,1.8,2.3,中,小球,"0,1",,,,,,,,,"0,1,2",0.6,0.8,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,法国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,法国乙级联赛
2.2,3:0,3,罗达JC,0,0,0,0,1,3.9,1,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.8,2.6,5.2,17.0,6.0,3.95,3.3,4.7,7.75,13.5,18.0,3.0,3.35,2.69,3.35,2.18,1.17,2.18,0,4.1,0,0,1.52,4.4,多德勒支,,2038790,,17.0,12.0,15.5,31.0,10.0,7.5,9.0,20.0,12.0,7.5,11.0,23.0,21.0,13.5,19.0,39.0,,,,0.8,1.4,2.6,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.2,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,荷兰乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,荷兰乙级联赛
2.0,3:2,5,德比郡,0,0,2,-2.6,2,0,1,-2.9,2,2.0,1,4.4,1,7.1,0,0,0,0,0,0,0,0,0,0,2.4,4.8,15.0,5.55,3.7,3.3,5.0,8.35,15.0,21.0,2.8,3.8,4.8,4.8,1.52,3.28,1.52,0,3.28,0,0,2.15,2.78,考文垂,,2038792,,15.0,15.0,28.0,90.0,7.4,7.0,13.0,45.0,7.25,6.75,14.5,40.0,11.0,10.5,21.0,55.0,,,,1.4,0.6,2.4,中,大球,"0,1",,,,,,,,,"3,4,5",2.2,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
3.2,2:1,3,达姆施塔特,2,0,4,8.3,4,3.9,2,5.9,4,-7.5,4,-7.1,4,-7.4,4,-10.0,0,0,0,0,0,0,0,0,3.1,6.2,16.0,6.5,3.95,3.6,4.3,7.2,12.5,18.0,3.0,3.45,2.57,3.45,2.22,1.23,2.22,0,4.1,0,0,1.49,4.66,比勒费尔德,,2038812,,16.0,11.5,15.0,31.0,10.5,7.0,8.0,18.0,14.0,7.5,9.75,22.0,24.0,15.0,19.0,34.0,,,,1.8,1.4,3.1,中,大球,"0,1",,,,,,,,,"3,4,5",1.4,1.6,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.4,1:1,2,埃尔沃斯堡,1,9.4,3,14.8,3,5.1,0,0,2,-8.7,1,-6.5,1,-7.4,1,-10.0,0,0,0,0,0,0,0,0,2.8,5.6,17.5,6.6,4.1,3.45,4.2,7.25,12.5,18.0,2.2,3.38,2.8,3.38,2.1,1.2799999999999998,2.1,0,3.95,0,0,1.55,4.32,汉诺威96,,2038842,,17.5,11.5,15.5,33.0,10.5,7.0,8.5,19.0,12.0,7.5,10.0,22.0,22.0,14.5,18.0,34.0,,,,2.0,1.4,2.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.8,0:2,2,帕德博恩,1,11.8,1,4.8,1,2.5,1,2.9,1,-2.2,1,-5.4,1,-8.0,1,-11.8,0,0,0,0,0,0,0,0,3.0999999999999996,6.199999999999999,19.0,6.55,4.1,3.55,4.4,7.0,11.5,15.0,2.4,3.7,1.65,3.95,1.65,2.3000000000000003,3.95,1.0,3.53,0,1,3.05,1.93,菲尔特,,2038843,,19.0,9.0,9.0,14.5,15.0,7.5,6.75,11.0,25.0,11.5,11.0,17.0,60.0,28.0,28.0,40.0,,,,2.4,1.4,3.1,强,大球,"1,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.8,2:2,4,瓦尔韦克,0,0,3,7.7,4,12.5,4,-1.4,1,-6.7,2,-6.2,1,-8.3,1,-6.2,0,0,0,0,0,0,1,3.8,2.7,5.4,19.0,7.0,4.5,3.4,4.2,6.8,11.0,15.0,1.6,3.8,1.69,3.8,1.69,2.11,3.65,1.0,3.45,0,1,3.22,1.89,海尔蒙特,,2038862,,19.0,10.0,11.0,16.0,15.5,7.5,7.0,12.0,23.0,11.0,11.0,16.0,50.0,25.0,28.0,38.0,,,,2.4,1.4,2.7,强,大球,"1,2",,,,,,,,,"3,4,5",0.4,1.2,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,荷兰乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,荷兰乙级联赛
