a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.0,2:0,2,清水鼓动,0,0,3,5.7,3,7.7,3,-6.9,0,0,1,-4.5,1,-5.0,2,-16.7,0,0,0,0,0,0,2,-2.7,2.5,5.0,10.5,4.65,3.5,3.35,5.8,10.5,19.0,25.0,3.0,3.3,3.87,3.87,1.76,2.1100000000000003,1.76,0,3.25,0,0,1.84,3.6,神户胜利船,,2038742,,10.5,11.0,22.0,60.0,6.5,6.35,12.5,35.0,8.0,6.2,13.5,40.0,15.0,13.0,23.0,55.0,,,,1.4,0.6,2.5,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",2.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.0,0:3,3,东京FC,0,0,3,-3.7,3,6.3,2,-2.7,4,0.8,1,3.8,3,0,1,-12.5,0,0,0,0,0,0,4,-15.0,2.0,4.0,9.0,3.85,3.35,3.55,6.3,13.5,25.0,35.0,2.0,2.86,3.0,3.0,2.24,0.7599999999999998,2.24,0,3.65,0,0,1.48,5.55,町田泽维亚,,2038743,,9.0,8.0,14.0,40.0,6.5,5.8,9.5,27.0,10.0,7.5,13.5,35.0,22.0,17.0,30.0,70.0,,,,1.2,0.8,2.0,修正(否决),大球,"0,1",,,,,,,,,"3,4,6",1.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.0,3:2,5,纽卡斯尔喷气机,2,0,3,2.8,3,2.0,3,-2.7,0,0,4,0,5,0,4,0,0,0,0,0,0,0,2,1.3,2.7,5.4,28.0,9.25,5.1,3.65,4.2,5.55,8.75,9.25,3.4,3.88,2.66,3.88,2.02,1.8599999999999999,2.02,0,4.15,0,0,1.59,3.85,麦克阿瑟FC,,2038744,,28.0,17.0,19.0,30.0,16.0,9.0,9.0,16.5,18.0,8.75,9.5,16.0,28.0,15.0,15.0,23.0,,,,1.2,0.8,2.7,弱(高球不动降权),大球,"2,3",,,,,,,,,"2,3,4",0.8,2.6,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.0,0:0,0,悉尼FC,0,0,3,5.2,4,3.9,5,2.9,4,-8.5,3,4.7,1,-7.1,3,-11.1,0,0,0,0,0,0,0,0,2.2,4.4,16.0,6.1,4.0,3.6,4.3,7.8,13.0,16.0,2.4,3.45,2.25,3.45,2.25,1.2000000000000002,2.53,1.0,4.2,0,1,4.55,1.49,布里斯班狮吼,,2038745,,16.0,10.5,13.0,26.0,11.0,6.75,8.5,17.0,15.0,9.25,10.0,20.0,32.0,18.0,21.0,40.0,,,,1.0,1.0,2.2,近小球+0球过高→大球,大球,"0,1",,,,,,,,,"4,5,7",1.0,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
3.6,1:1,2,奥克兰FC,3,5.6,4,12.0,4,4.9,3,5.6,1,-4.3,2,-2.9,4,-15.2,4,-20.0,0,0,0,0,0,0,1,12.5,3.4000000000000004,6.800000000000001,19.0,7.0,4.25,3.75,4.5,6.8,9.75,12.0,3.2,3.6,2.34,3.6,2.34,1.2600000000000002,2.36,1.0,4.2,0,1,4.85,1.46,阿德莱德联,,2038782,,19.0,12.5,15.0,28.0,13.0,7.2,8.25,17.5,16.0,9.0,9.75,18.0,30.0,19.0,19.0,23.0,,,,2.6,1.0,3.4,中,大球,"1,2",,,,,,,,,"3,4,6",2.2,1.0,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
3.2,1:0,1,拉斯决心,0,0,1,3.3,2,-2.3,3,2.8,2,-4.8,3,3.9,2,0,2,0,0,0,0,0,0,0,1,-5.9,2.9000000000000004,5.800000000000001,25.0,7.75,4.3,3.7,4.0,6.7,10.0,12.0,2.6,5.4,8.0,8.0,1.22,6.78,1.22,0,3.55,0,0,3.42,1.8,吉达联合,,2038788,,25.0,24.0,55.0,150.0,8.75,10.5,21.0,65.0,7.25,8.0,16.0,50.0,8.5,8.5,20.0,50.0,,,,1.4,1.8,2.9,强,大球,"2,3",,,,,,,,,"3,4,5",1.0,1.6,0,"['首选2球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
1.8,2:0,2,蔚山现代,0,0,1,2.3,1,1.5,0,0,1,-3.5,1,-4.5,0,0,0,0,0,0,0,0,0,0,2,0,2.0,4.0,11.0,4.45,3.3,3.55,5.55,10.5,21.0,32.0,2.2,3.1,2.98,3.1,2.12,0.98,2.12,0,3.78,0,0,1.55,4.55,全北现代,,2038806,,11.0,9.0,14.0,38.0,7.5,6.0,9.0,25.0,9.75,7.0,13.0,30.0,19.0,16.0,25.0,65.0,,,,1.4,0.4,2.0,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.8,2:2,4,珀斯光荣,2,28.6,5,17.1,4,6.8,2,4.3,4,-12.2,3,-12.7,3,-13.8,4,-23.8,0,0,0,0,0,0,0,0,3.0,6.0,18.0,6.5,3.95,3.6,4.3,7.2,12.5,16.0,3.2,3.45,2.5,3.45,2.28,1.1700000000000004,2.28,0,4.08,0,0,1.47,4.9,中央海岸水手,,2038807,,18.0,10.5,15.0,29.0,10.0,6.5,8.25,17.5,14.5,8.0,10.0,21.0,23.0,16.5,20.0,35.0,,,,0.8,2.0,3.0,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.6,1.6,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.4,2:0,2,京都不死鸟,0,0,2,6.1,3,2.9,2,2.9,1,-1.9,2,-5.6,4,-11.8,4,-24.1,0,0,0,0,0,0,1,-1.9,2.9,5.8,13.0,5.2,3.55,3.55,5.2,8.5,15.0,22.0,3.4,3.15,2.67,3.15,2.29,0.8599999999999999,2.29,0,3.85,0,0,1.48,5.15,大阪钢巴,,2038808,,13.0,9.0,13.0,29.0,8.5,6.2,8.1,20.0,12.0,7.5,11.5,25.0,24.0,16.0,23.0,55.0,,,,1.2,1.2,2.9,强(防守强化),大球,"0,1",,,,,,,,,"3,4,6",1.6,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.4,3:0,3,光州FC,0,0,0,0,1,3.3,1,2.7,0,0,2,-7.1,2,-14.8,2,-20.0,0,0,0,0,0,0,1,-1.0,1.7999999999999998,3.5999999999999996,8.5,3.85,3.15,3.85,6.75,13.0,23.0,32.0,1.2,3.38,6.0,6.0,1.5,4.5,1.5,0,2.94,0,0,2.22,2.95,江原FC,,2038809,,8.5,11.5,35.0,125.0,4.85,6.5,17.0,80.0,6.0,7.0,20.5,80.0,9.5,14.0,36.0,125.0,,,,0.8,1.6,1.8,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.4,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
