a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.4,0:0,0,弗鲁米嫩塞,0,0,1,3.8,2,-4.8,2,-2.7,0,0,1,3.8,2,17.4,2,22.5,0,0,0,0,0,0,1,2.9,2.1,4.2,9.0,4.15,2.95,3.6,6.5,13.5,27.0,49.0,0.8,3.7,1.43,6.25,1.43,4.82,6.25,1.0,2.95,0,1,2.74,2.35,拉瓜伊拉,,2038918,,9.0,5.4,6.1,10.0,12.0,7.1,6.75,13.0,29.0,16.0,20.0,30.0,80.0,60.0,70.0,100.0,,,,2.0,1.4,2.1,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",0.6,0.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.0,1:2,3,博卡青年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-16.3,2.9,5.8,8.0,3.75,3.1,3.8,6.8,15.0,26.0,40.0,3.8,2.8,2.01,3.65,2.01,1.6400000000000001,3.65,1.0,3.35,0,1,4.6,1.63,天主大学,,2038919,,8.0,6.0,8.5,18.0,8.25,5.8,7.5,19.0,16.0,11.0,16.0,30.0,40.0,33.0,40.0,80.0,,,,1.6,0.4,2.9,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",2.6,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
3.0,0:2,2,弗拉门戈,1,-5.0,1,-4.8,1,-1.6,3,-2.8,3,10.0,3,12.5,1,4.5,1,8.8,0,0,0,0,0,0,3,-8.0,2.9,5.8,9.5,4.0,3.15,3.5,6.6,13.5,23.0,37.0,2.8,3.13,1.68,4.65,1.68,2.9700000000000006,4.65,1.0,3.18,0,1,3.34,1.94,库斯科,,2038925,,9.5,5.75,7.5,15.0,10.0,6.5,7.5,15.0,20.0,12.0,16.0,26.0,55.0,38.0,45.0,75.0,,,,2.0,1.0,2.9,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",1.6,1.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.2,1:1,2,帕尔梅拉斯,0,0,0,0,1,-4.7,1,-2.8,1,3.3,1,8.7,1,9.1,1,21.2,0,0,0,0,0,0,0,0,2.2,4.4,10.5,4.2,3.05,3.5,6.2,12.5,24.0,40.0,2.2,3.5,1.57,4.85,1.57,3.2799999999999994,4.85,1.0,3.25,0,1,2.97,2.06,巴兰基亚青年,,2038926,,10.5,6.0,7.0,13.5,10.5,6.7,7.0,14.0,23.0,13.0,16.0,25.0,60.0,39.0,40.0,60.0,,,,1.6,0.6,2.2,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.8,0:2,2,科林蒂安,0,0,1,3.1,1,3.4,1,2.3,1,-7.7,1,-14.3,1,-12.5,1,-28.6,0,0,0,0,0,0,1,-3.8,-1,-1,5.8,3.35,3.0,4.4,8.4,18.0,35.0,50.0,-1,2.49,2.6,2.92,2.49,0.4299999999999997,2.92,0,4.4,0,0,1.28,8.3,普拉滕斯,,2038934,,5.8,5.65,11.0,31.0,5.75,5.5,9.25,27.0,11.5,10.5,17.0,45.0,33.0,31.0,48.0,100.0,,,,0.6,1.2,1.8,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.0,0.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.2,1:0,1,基多体育大学,1,-11.1,2,-15.0,1,-3.2,1,2.7,2,19.2,2,23.1,2,52.2,2,28.6,3,0,3,0,3,0,1,-4.0,1.0,2.0,8.0,3.4,3.0,3.85,7.75,16.0,35.0,45.0,0.8,3.45,5.8,5.8,1.5,4.3,1.5,0,3.0,0,0,2.19,2.95,拉努斯,2026-04-29,2039405,,8.0,9.25,32.0,80.0,5.3,7.0,20.0,60.0,6.0,7.0,20.0,60.0,12.0,14.0,30.0,100.0,,,,0.69,0.42,1.0,强,小球,"0,1",,,,,,,,,"0,1,2",0.34,0.36,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
3.4,1:1,2,弗拉门戈,0,0,0,0,1,-3.2,0,0,0,0,1,6.7,1,16.7,1,8.3,2,2.2,3,9.7,3,-7.0,3,-15.1,2.6,5.2,7.0,3.55,3.05,3.95,7.25,16.0,35.0,52.0,1.8,2.85,1.99,3.62,1.99,1.6300000000000001,3.62,1.0,3.32,0,1,4.85,1.61,拉普拉塔大学生,2026-04-30,2039416,,7.0,5.8,9.0,20.0,7.0,5.4,8.0,20.0,14.0,11.5,17.0,38.0,40.0,34.0,50.0,100.0,,,,2.9,0.51,2.6,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",1.05,0.46,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.6,1:1,2,帕尔梅拉斯,0,0,1,-2.6,2,-6.5,0,0,2,7.7,2,7.7,2,20.0,2,26.3,1,1.5,2,5.4,2,-2.4,1,1.0,1.5,3.0,9.0,3.8,2.9,3.75,7.0,14.0,30.0,48.0,1.4,3.3,1.61,4.9,1.61,3.29,4.9,1.0,2.96,0,1,3.43,2.0,波特诺山丘,2026-04-30,2039417,,9.0,5.5,6.5,12.5,10.5,6.5,7.0,15.0,20.0,14.0,17.5,29.0,65.0,45.0,55.0,75.0,,,,1.51,0.15,1.5,弱(0球不动降权),小球,"0,1",,,,,,,,,"0,1,2",0.9,0.45,0,"['首选0球(变0%,n=0)', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.8,2:0,2,弗鲁米嫩塞,1,4.2,4,-8.0,4,1.4,3,-5.9,3,8.6,1,2.1,2,11.8,2,14.3,3,-2.9,3,6.7,3,-11.0,1,-3.3,2.8,5.6,12.5,4.6,3.55,3.2,5.7,9.7,19.0,32.0,2.8,3.4,3.74,3.74,1.76,1.9800000000000002,1.76,0,3.53,0,0,1.81,3.4,玻利瓦尔,2026-05-01,2039423,,12.5,12.0,22.0,50.0,7.35,6.5,11.5,34.0,8.0,6.75,14.0,34.0,14.5,12.5,22.0,60.0,,,,1.44,1.23,2.8,中,小球,"0,1",,,,,,,,,"0,1,2",2.52,0.79,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.4,2:0,2,佩纳罗尔,0,0,1,-4.2,1,-1.7,0,0,1,5.4,1,9.1,1,10.0,1,14.6,2,-0.9,1,-1.4,2,9.5,0,0,1.6,3.2,7.5,3.4,2.95,3.9,7.85,18.0,33.0,55.0,0.8,3.32,7.5,7.5,1.44,6.0600000000000005,1.44,0,2.95,0,0,2.4,2.68,科林蒂安,2026-05-01,2039424,,7.5,11.0,35.0,120.0,4.5,6.8,21.0,80.0,5.7,7.5,24.0,80.0,10.0,14.5,38.0,125.0,,,,0.79,1.58,1.6,弱(0球不动降权),小球,"0,1",,,,,,,,,"0,1,2",0.84,0.0,0,"['首选0球(变0%,n=0)', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.8,0:2,2,帕尔梅拉斯,0,0,1,4.8,2,-7.7,2,-5.5,1,5.0,2,13.0,2,19.0,2,20.0,1,2.7,1,4.3,1,-2.1,0,0,2.6,5.2,10.0,4.4,3.0,3.45,6.3,13.0,25.0,36.0,3.4,3.75,1.43,6.1,1.43,4.67,6.1,1.0,2.92,0,1,2.7,2.4,水晶体育,2026-05-06,2039545,,10.0,5.5,6.25,9.5,13.0,7.0,7.0,12.0,30.0,17.0,19.0,29.0,100.0,65.0,70.0,90.0,,,,1.3,0.54,2.6,强,大球,"0,1",,,,,,,,,"3,4,5",1.59,1.64,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.4,1:0,1,博卡青年,0,0,1,-5.9,1,3.2,0,0,1,3.9,1,5.9,0,0,0,0,3,5.1,4,15.0,4,-8.1,2,-17.6,2.5999999999999996,5.199999999999999,6.8,3.2,3.25,3.95,8.0,18.0,30.0,50.0,2.8,3.1,1.7,4.6,1.7,2.8999999999999995,4.6,1.0,3.1,0,1,3.65,1.88,瓜亚基尔巴塞罗那,2026-05-06,2039546,,6.8,5.2,7.5,16.0,8.1,5.8,7.8,19.0,20.0,13.0,19.0,35.0,50.0,40.0,50.0,100.0,,,,1.87,0.54,2.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.15,1.48,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.4,1:1,2,弗鲁米嫩塞,0,0,2,0,0,0,2,-6.4,1,6.4,1,6.7,1,7.4,1,12.5,3,3.4,4,-9.4,3,11.5,4,-12.8,2.8,5.6,7.8,3.7,3.05,3.65,7.45,16.0,29.0,45.0,3.2,3.0,3.3,3.3,2.03,1.27,2.03,0,3.55,0,0,1.59,4.6,里瓦达维亚独立,2026-05-07,2039554,,7.8,8.0,14.0,40.0,6.2,5.5,11.0,30.0,9.5,7.5,16.0,45.0,21.0,20.0,32.0,80.0,,,,0.75,1.5,2.8,弱(0球不动降权),小球,"0,1",,,,,,,,,"0,1,2",2.45,0.85,0,"['首选0球(变0%,n=0)', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.4,1:1,2,科林蒂安,0,0,1,-1.5,1,-3.4,0,0,1,3.5,1,15.0,1,13.3,1,8.3,3,0,4,11.5,4,-9.6,2,-5.2,2.4,4.8,6.2,3.25,2.85,4.3,8.8,23.0,34.0,65.0,3.4,2.67,2.44,2.9,2.44,0.45999999999999996,2.9,0,4.3,0,0,1.3,7.85,圣菲独立,2026-05-07,2039555,,6.2,5.95,11.0,28.0,6.1,5.4,9.45,27.0,12.0,9.5,18.0,40.0,32.0,29.0,45.0,100.0,,,,1.12,0.59,2.4,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",2.27,1.21,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.0,2:0,2,基多体育大学,1,-7.7,1,-4.2,2,-7.6,1,-4.3,2,11.2,2,21.1,2,22.2,2,19.4,1,-1.2,2,2.2,2,-7.5,1,-6.8,1.6,3.2,12.0,4.6,3.05,3.35,5.95,11.5,22.0,37.0,2.2,3.95,6.2,6.2,1.4,4.800000000000001,1.4,0,3.15,0,0,2.47,2.46,米拉索尔,2026-05-08,2039560,,12.0,13.5,30.0,120.0,6.0,7.5,18.0,60.0,6.0,6.75,17.0,50.0,9.5,11.0,26.0,80.0,,,,0.54,0.43,1.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.47,0.76,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
2.4,2:1,3,玻利瓦尔,0,0,2,8.6,3,-3.9,2,-5.7,1,-6.4,2,7.2,2,19.2,2,14.7,4,11.1,4,-1.7,1,-4.8,1,8.1,2.5999999999999996,5.199999999999999,18.0,6.3,3.7,3.3,4.4,8.15,15.5,19.5,2.8,6.0,10.0,10.0,1.16,8.84,1.16,0,3.93,0,0,4.0,1.6,弗鲁米嫩塞,2026-05-20,2039845,,18.0,25.0,60.0,200.0,7.0,10.0,24.0,80.0,5.75,7.5,21.0,70.0,7.0,10.5,25.0,80.0,,,,1.23,1.4,2.6,强,大球,"0,1",,,,,,,,,"3,4,5",1.6,1.31,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
-1,4:0,4,委内瑞拉中央大学,1,-9.5,1,1.5,0,0,2,-9.9,1,-5.6,2,8.6,4,22.7,4,35.7,0,0,0,0,0,0,1,-4.3,-1,-1,19.0,6.6,4.1,3.2,4.25,7.6,13.5,19.0,2.0,99.0,99.0,99.0,99.0,0.0,99.0,0,3.5,0,0,2.48,2.27,罗萨里奥中央,2026-05-20,2039846,,19.0,36.0,100.0,500.0,7.0,13.0,48.0,200.0,5.0,9.0,36.0,150.0,5.5,11.0,40.0,150.0,,,,0,0,2.0,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,6",1.08,0.85,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
1.4,1:0,1,拉普拉塔大学生,0,0,0,0,1,-3.1,1,-4.1,1,3.3,1,8.3,1,14.3,1,12.9,1,1.3,2,-2.2,2,10.8,0,0,1.8,3.6,10.0,4.2,3.1,3.5,6.2,13.0,24.0,35.0,2.2,4.0,8.2,8.2,1.32,6.879999999999999,1.32,0,2.85,0,0,2.83,2.35,弗拉门戈,2026-05-21,2039856,,10.0,14.0,40.0,120.0,5.4,7.5,20.0,80.0,5.8,7.0,21.0,80.0,8.5,12.0,30.0,100.0,,,,0.77,0.69,1.8,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",0.91,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,南美解放者杯,杯赛,杯赛,美洲,南美杯赛,南美解放者杯
