a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,4:0,4,利物浦,0,0,1,11.4,1,6.1,0,0,0,0,1,-3.7,1,-11.4,1,-13.8,0,0,0,0,0,0,0,0,2.8,5.6,22.0,7.8,4.35,3.55,4.3,6.5,9.75,12.5,2.8,3.7,3.8,3.8,1.68,2.12,1.68,0,3.71,0,0,1.94,2.9,曼彻斯特城,,2038813,,22.0,17.5,27.0,65.0,10.5,7.75,11.5,30.0,10.5,6.75,11.0,25.0,15.0,10.0,15.0,30.0,,,,1.8,1.0,2.8,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",1.4,1.4,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
2.2,7:0,7,维尔港,1,-20.0,1,-15.4,1,-3.8,1,-2.3,0,0,1,3.0,1,7.7,1,7.9,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,40.0,11.0,6.25,4.3,4.1,5.1,7.0,6.15,3.6,99.0,99.0,99.0,99.0,0.0,99.0,0,4.65,0,0,2.18,2.2,切尔西,,2038826,,40.0,75.0,200.0,500.0,11.5,22.0,60.0,300.0,7.5,12.5,28.0,150.0,6.0,9.75,26.0,80.0,,,,0.6,1.6,2.9,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",0.8,2.8,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
2.2,2:1,3,阿森纳,1,-4.8,1,-5.2,0,0,0,0,0,0,0,0,1,9.1,1,6.7,0,0,0,0,0,0,0,0,2.0,4.0,20.0,6.35,4.1,3.45,4.5,7.0,12.0,16.0,1.8,4.85,1.29,6.85,1.29,5.56,6.85,1.0,3.6,0,1,1.95,2.95,南安普敦,,2038831,,20.0,7.75,6.7,8.5,18.5,9.0,7.0,9.5,44.0,19.0,16.0,21.0,150.0,65.0,55.0,60.0,,,,1.4,0.8,2.0,近小球+0球过高→大球,大球,"2,3",,,,,,,,,"3,4,5",1.4,0.4,0,"['首选2球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
1.0,2:2,4,利兹联,2,-16.7,3,-2.1,3,0,1,1.4,3,2.9,3,7.7,3,10.5,3,-3.2,0,0,0,0,0,0,1,-9.1,2.1,4.2,10.0,4.7,3.4,3.5,5.4,10.5,21.0,30.0,3.2,2.95,2.28,2.95,2.28,0.6700000000000004,2.85,0,4.75,0,0,1.31,6.5,西汉姆联,,2038854,,10.0,8.5,12.0,25.0,9.0,6.0,7.5,18.0,13.0,8.5,11.5,25.0,30.0,20.0,26.0,50.0,,,,0.6,0.4,2.1,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.2,2.0,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
3.2,5:1,6,奈梅亨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7.7,3.1,6.2,18.0,6.5,4.0,3.5,4.6,7.0,12.0,16.0,3.0,3.25,2.56,3.25,2.32,0.9300000000000002,2.32,0,4.3,0,0,1.45,4.85,阿尔克马尔,,2039200,,18.0,12.0,15.0,26.0,10.5,6.8,8.5,18.0,14.0,8.0,11.0,21.0,24.0,17.0,20.0,31.0,,,,2.2,1.0,3.1,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.4,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,荷兰杯,杯赛,杯赛,欧洲,国内杯赛,荷兰杯
3.6,3:2,5,科莫,0,0,1,1.0,1,1.4,1,-2.9,1,-2.0,1,2.8,1,6.7,0,0,0,0,0,0,0,0,0,0,3.9000000000000004,7.800000000000001,14.0,5.15,3.65,3.4,4.9,9.25,16.0,22.0,4.2,3.51,3.9,3.9,1.7,2.2,1.7,0,3.58,0,0,1.88,3.15,国际米兰,,2039246,,14.0,12.5,23.0,60.0,7.5,6.7,12.0,35.0,8.0,7.0,13.0,35.0,13.0,12.0,20.0,55.0,,,,2.2,1.4,3.9,弱,大球,"0,2",,,,,,,,,"0,2,3",2.8,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,意大利杯,杯赛,杯赛,欧洲,国内杯赛,意大利杯
4.2,4:1,5,图卢兹,1,6.7,3,8.2,3,8.1,4,-10.1,3,-9.2,1,1.2,2,10.7,2,14.3,0,0,0,0,0,0,1,0.8,4.1,8.2,16.0,5.95,4.0,3.1,4.45,8.35,15.5,24.0,4.0,4.2,6.0,6.0,1.38,4.62,1.38,0,3.23,0,0,2.5,2.38,朗斯,,2039247,,16.0,17.0,32.0,100.0,7.25,7.75,15.0,45.0,7.0,6.5,14.0,45.0,10.0,10.0,20.0,60.0,,,,1.6,2.6,4.1,强,大球,"0,2",,,,,,,,,"3,4,5",2.4,1.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,法国杯,杯赛,杯赛,欧洲,国内杯赛,法国杯
5.2,0:2,2,拜仁慕尼黑,1,12.9,1,4.7,1,2.9,1,-2.6,1,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.7,9.4,35.0,10.0,5.4,3.75,3.9,5.5,8.25,8.75,4.2,4.45,1.47,4.45,1.47,2.9800000000000004,4.45,1.0,3.9,0,1,2.28,2.3,勒沃库森,,2039259,,35.0,14.0,11.5,13.0,25.0,10.0,7.5,9.0,35.0,14.0,11.0,12.5,90.0,31.0,25.0,26.0,,,,3.6,1.6,4.7,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",2.2,2.0,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国杯,杯赛,杯赛,欧洲,国内杯赛,德国杯
1.6,1:1,2,拉齐奥,0,0,1,3.2,1,-3.0,2,-5.6,0,0,1,5.0,2,16.7,2,14.8,0,0,0,0,0,0,1,-1.8,2.0,4.0,12.0,4.8,3.25,3.35,5.5,10.5,21.0,31.0,2.4,3.4,4.4,4.4,1.65,2.7500000000000004,1.65,0,3.1,0,0,1.94,3.43,亚特兰大,,2039262,,12.0,11.0,24.0,80.0,6.5,6.25,11.0,48.0,7.0,7.0,14.0,48.0,12.0,13.0,25.0,70.0,,,,1.2,0.4,2.0,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利杯,杯赛,杯赛,欧洲,国内杯赛,意大利杯
2.4,0:2,2,尼斯,1,7.1,1,6.7,0,0,1,-2.9,1,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.3,3.0,6.0,15.0,5.55,3.65,3.35,4.8,8.5,15.0,24.0,3.6,3.85,4.95,4.95,1.5,3.45,1.5,0,3.3,0,0,2.2,2.69,斯特拉斯堡,,2039263,,15.0,14.0,24.0,75.0,7.5,6.75,12.5,36.0,8.0,6.75,13.0,40.0,12.0,11.0,20.0,60.0,,,,0.8,1.6,3.0,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",2.0,1.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国杯,杯赛,杯赛,欧洲,国内杯赛,法国杯
3.2,1:1,2,弗赖堡,1,-5.9,3,5.6,2,3.8,2,-4.4,3,-6.4,2,4.7,1,3.8,1,5.9,0,0,0,0,0,0,1,1.5,3.7,7.4,16.0,6.55,4.05,3.25,4.4,7.85,13.5,18.0,4.2,3.92,4.45,4.45,1.54,2.91,1.54,0,3.4,0,0,2.15,2.7,斯图加特,,2039272,,16.0,16.0,29.0,75.0,8.0,7.25,13.0,45.0,8.0,7.0,13.0,35.0,12.0,11.0,19.0,45.0,,,,2.2,1.0,3.7,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",2.2,2.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国杯,杯赛,杯赛,欧洲,国内杯赛,德国杯
3.8,2:1,3,南安普敦,3,-11.1,3,-6.2,3,-4.3,0,0,3,1.2,3,4.2,3,4.8,3,9.5,0,0,0,0,0,0,1,-9.1,3.2,6.4,24.0,7.5,4.5,3.6,4.35,6.25,9.75,11.5,2.6,99.0,99.0,99.0,99.0,0.0,99.0,0,4.1,0,0,2.1,2.45,曼彻斯特城,,2039328,,24.0,30.0,80.0,300.0,8.75,11.5,29.0,150.0,6.5,8.0,23.0,90.0,7.0,9.0,22.0,80.0,,,,2.8,1.0,3.2,中(防守矛盾⚠️),大球,"2,3",,,,,,,,,"3,4,5",2.4,0.2,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
2.8,1:0,1,利兹联,2,25.0,3,13.7,4,8.8,3,5.7,3,-8.7,5,-13.2,5,-29.4,5,-34.6,3,6.2,4,-4.1,5,1.5,2,6.9,3.0999999999999996,6.199999999999999,15.0,5.8,3.7,3.7,4.75,8.2,12.0,17.0,3.4,3.45,3.35,3.45,1.85,1.6,1.85,0,3.7,0,0,1.75,3.48,切尔西,2026-04-26,2039349,,15.0,11.0,19.5,50.0,7.75,6.45,10.5,26.0,9.25,7.0,11.5,28.0,17.0,14.0,21.0,45.0,,,,1.99,1.09,3.1,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.07,2.07,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰足总杯,杯赛,杯赛,欧洲,国内杯赛,英格兰足总杯
3.4,0:2,2,国际米兰,1,-8.0,1,-2.1,2,-4.3,2,-8.6,2,9.4,3,10.5,3,41.2,2,25.0,6,-9.1,6,-14.9,6,9.0,2,-3.6,3.3,6.6,11.5,4.7,3.35,3.2,5.8,10.5,24.0,30.0,3.2,3.5,1.57,4.85,1.57,3.2799999999999994,4.85,1.0,3.35,0,1,2.88,2.07,拉齐奥,2026-05-14,2039706,,11.5,6.75,6.75,10.5,12.5,7.0,7.0,12.0,28.0,14.5,15.0,24.0,80.0,50.0,50.0,65.0,,,,2.57,0.69,3.3,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.44,1.85,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,意大利杯,杯赛,杯赛,欧洲,国内杯赛,意大利杯
