a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.2,2:1,3,达姆施塔特,2,0,4,8.3,4,3.9,2,5.9,4,-7.5,4,-7.1,4,-7.4,4,-10.0,0,0,0,0,0,0,0,0,3.1,6.2,16.0,6.5,3.95,3.6,4.3,7.2,12.5,18.0,3.0,3.45,2.57,3.45,2.22,1.23,2.22,0,4.1,0,0,1.49,4.66,比勒费尔德,,2038812,,16.0,11.5,15.0,31.0,10.5,7.0,8.0,18.0,14.0,7.5,9.75,22.0,24.0,15.0,19.0,34.0,,,,1.8,1.4,3.1,中,大球,"0,1",,,,,,,,,"3,4,5",1.4,1.6,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.4,1:1,2,埃尔沃斯堡,1,9.4,3,14.8,3,5.1,0,0,2,-8.7,1,-6.5,1,-7.4,1,-10.0,0,0,0,0,0,0,0,0,2.8,5.6,17.5,6.6,4.1,3.45,4.2,7.25,12.5,18.0,2.2,3.38,2.8,3.38,2.1,1.2799999999999998,2.1,0,3.95,0,0,1.55,4.32,汉诺威96,,2038842,,17.5,11.5,15.5,33.0,10.5,7.0,8.5,19.0,12.0,7.5,10.0,22.0,22.0,14.5,18.0,34.0,,,,2.0,1.4,2.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.8,0:2,2,帕德博恩,1,11.8,1,4.8,1,2.5,1,2.9,1,-2.2,1,-5.4,1,-8.0,1,-11.8,0,0,0,0,0,0,0,0,3.0999999999999996,6.199999999999999,19.0,6.55,4.1,3.55,4.4,7.0,11.5,15.0,2.4,3.7,1.65,3.95,1.65,2.3000000000000003,3.95,1.0,3.53,0,1,3.05,1.93,菲尔特,,2038843,,19.0,9.0,9.0,14.5,15.0,7.5,6.75,11.0,25.0,11.5,11.0,17.0,60.0,28.0,28.0,40.0,,,,2.4,1.4,3.1,强,大球,"1,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.4,4:1,5,比勒费尔德,0,0,2,9.2,2,3.8,0,0,1,-2.2,2,-9.1,2,-3.7,2,-5.3,0,0,0,0,0,0,0,0,3.2,6.4,16.0,6.55,4.05,3.45,4.4,7.0,13.0,18.0,3.0,3.38,2.0,3.38,2.0,1.38,3.0,1.0,3.9,0,1,3.97,1.61,卡尔斯鲁厄,,2038968,,16.0,10.0,12.0,21.0,12.5,7.0,7.0,13.0,19.0,9.5,10.0,17.0,38.0,20.0,22.0,37.0,,,,1.8,1.6,3.2,中,大球,"0,1",,,,,,,,,"3,4,5",1.2,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
2.8,1:2,3,基尔,0,0,1,-5.2,0,0,1,1.4,2,-3.3,0,0,2,14.3,2,10.5,0,0,0,0,0,0,0,0,2.9,5.8,15.0,5.5,3.85,3.5,4.4,8.25,16.0,21.0,3.0,3.31,3.1,3.31,1.98,1.33,1.98,0,3.7,0,0,1.62,4.13,杜塞尔多夫,,2038969,,15.0,12.0,19.0,47.0,9.0,6.75,9.5,24.0,10.0,7.0,11.0,26.0,18.0,12.5,19.0,41.0,,,,1.2,1.6,2.9,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.0,2.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
2.0,1:2,3,沙尔克04,0,0,0,0,0,0,1,2.9,0,0,1,-2.7,1,-6.2,0,0,0,0,0,0,0,0,0,0,2.7,5.4,13.0,5.25,3.55,3.55,4.9,9.0,15.0,25.0,3.4,3.3,3.11,3.3,1.98,1.3199999999999998,1.98,0,3.85,0,0,1.62,4.0,埃尔沃斯堡,,2039039,,13.0,11.5,18.0,50.0,8.0,6.25,9.5,25.0,9.5,7.0,11.0,28.0,18.0,14.0,21.0,47.0,,,,1.0,1.0,2.7,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",2.0,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
2.8,3:0,3,卡尔斯鲁厄,1,33.3,2,22.1,2,11.8,2,1.4,2,-6.8,1,-12.6,2,-9.5,1,-21.4,0,0,0,0,0,0,1,6.2,3.3,6.6,28.0,8.55,4.75,3.55,4.1,5.9,9.5,11.0,3.8,5.15,6.25,6.25,1.29,4.96,1.29,0,3.6,0,0,2.91,1.97,埃尔沃斯堡,,2039136,,28.0,26.0,45.0,125.0,10.5,9.5,18.0,45.0,8.25,7.0,13.0,34.0,10.0,8.75,15.5,38.0,,,,1.4,1.4,3.3,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",2.0,1.8,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.0,2:0,2,杜塞尔多夫,0,0,0,0,1,1.2,1,7.1,0,0,1,-4.4,1,-9.1,1,-7.1,0,0,0,0,0,0,0,0,3.4,6.8,20.0,7.0,4.3,3.75,4.3,6.55,10.0,13.0,3.8,3.75,3.6,3.75,1.71,2.04,1.71,0,3.65,0,0,1.86,3.15,马格德堡,,2039157,,20.0,16.0,23.0,50.0,10.5,7.75,10.5,23.0,11.5,7.0,10.0,23.0,17.0,11.5,16.0,29.0,,,,0.8,2.2,3.4,中(防守矛盾⚠️),大球,"1,2",,,,,,,,,"3,4,5",2.2,1.6,0,"['首选1球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.0,3:2,5,达姆施塔特,1,12.5,1,7.8,1,5.3,1,-1.4,1,-3.3,1,-1.9,1,-13.8,1,-14.3,0,0,0,0,0,0,0,0,2.4,4.8,18.0,6.25,3.95,3.4,4.4,7.75,12.5,18.0,1.8,3.55,1.87,3.55,1.87,1.6799999999999997,3.2,1.0,3.77,0,1,3.62,1.7,菲尔特,,2039186,,18.0,10.0,11.5,18.0,14.0,7.0,7.0,12.0,19.0,9.5,10.0,17.0,41.0,22.0,24.0,37.0,,,,1.4,1.6,2.4,近小球+0球过高→大球,大球,"0,2",,,,,,,,,"3,4,5",0.6,1.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
3.0,0:2,2,不伦瑞克,1,6.2,4,14.2,3,7.7,3,1.4,2,-8.8,2,-9.7,3,-7.7,2,-10.5,0,0,0,0,0,0,0,0,2.8,5.6,17.0,6.85,4.2,3.5,4.15,7.0,12.0,17.0,2.6,3.4,2.9,3.4,2.04,1.3599999999999999,2.04,0,3.95,0,0,1.58,4.12,凯泽斯劳滕,,2039292,,17.0,12.0,16.0,32.0,10.0,6.5,8.5,20.0,12.5,7.8,10.0,24.0,21.0,14.0,19.0,35.0,,,,0.8,2.2,2.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,6",1.4,1.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国乙级联赛,联赛,次级联赛,欧洲,五大次级联赛,德国乙级联赛
