a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.2,1:2,3,莱比锡红牛,0,0,2,7.1,2,3.5,2,0,0,0,1,-2.2,1,-9.1,1,-7.1,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,20.0,7.5,4.4,3.5,4.35,6.6,10.0,13.0,2.6,3.85,1.64,3.85,1.64,2.21,3.85,1.0,3.65,0,1,2.92,1.95,云达不来梅,,2038818,,20.0,10.5,10.5,16.0,16.0,7.5,7.0,11.0,24.0,11.0,10.5,16.0,50.0,26.0,23.0,31.0,,,,2.2,1.0,2.9,强,大球,"1,2",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
4.6,2:3,5,拜仁慕尼黑,2,-25.8,2,-21.5,2,-16.2,2,-4.0,2,7.5,2,14.5,2,23.5,2,33.3,0,0,0,0,0,0,2,-10.5,4.0,8.0,23.0,7.5,4.4,3.6,4.3,6.3,10.5,12.0,3.4,4.6,1.37,5.5,1.37,4.13,5.5,1.0,3.9,0,1,2.05,2.6,弗赖堡,,2038819,,23.0,10.5,9.0,10.5,19.0,9.5,7.5,9.5,34.0,15.0,13.0,16.0,90.0,39.0,33.0,35.0,,,,3.8,0.8,4.0,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",2.0,1.4,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
3.0,4:3,7,沃尔夫斯堡,1,4.3,1,3.3,1,1.1,2,7.1,1,3.5,2,-6.1,2,-10.0,2,-15.4,0,0,0,0,0,0,3,3.0,3.3,6.6,24.0,7.75,4.45,3.75,4.4,6.15,9.0,11.0,3.6,4.85,6.5,6.5,1.3,5.2,1.3,0,3.75,0,0,2.84,1.96,勒沃库森,,2038820,,24.0,24.0,45.0,125.0,9.5,9.5,18.5,51.0,7.5,7.0,14.0,39.0,9.5,8.75,16.0,43.0,,,,0.8,2.2,3.3,强,大球,"2,3",,,,,,,,,"3,4,5",1.6,2.0,0,"['首选2球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
2.2,1:2,3,美因茨,3,-26.3,4,-12.1,4,-8.5,2,7.2,3,9.1,3,4.3,4,16.7,4,12.5,0,0,0,0,0,0,0,0,3.3000000000000003,6.6000000000000005,14.0,5.8,3.75,3.7,4.8,7.25,14.0,18.0,4.4,4.05,4.3,4.3,1.54,2.76,1.54,0,3.55,0,0,2.11,2.68,霍芬海姆,,2038821,,14.0,14.0,23.0,65.0,9.25,7.75,12.0,30.0,9.0,7.0,11.5,30.0,16.0,11.5,16.0,40.0,,,,1.6,0.6,3.3,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.6,2.8,0,"['首选0球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
3.8,1:1,2,奥格斯堡,1,7.7,1,3.0,1,1.4,1,5.8,0,0,2,-8.3,2,-17.6,2,-18.5,0,0,0,0,0,0,2,-8.1,3.3,6.6,14.0,5.15,3.6,3.65,5.0,8.3,14.0,22.0,2.8,2.95,2.78,2.95,2.32,0.6300000000000003,2.32,0,4.05,0,0,1.45,5.2,汉堡,,2038822,,14.0,10.0,16.0,35.0,8.75,6.25,9.0,21.0,11.0,7.5,10.5,26.0,20.0,15.0,22.0,45.0,,,,1.6,2.2,3.3,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.2,1.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
4.0,0:2,2,多特蒙德,0,0,1,5.8,1,3.3,1,4.2,0,0,1,-0.8,2,-10.0,2,-12.0,0,0,0,0,0,0,0,0,3.7,7.4,24.0,8.25,4.65,3.7,4.15,6.2,9.0,11.0,3.4,3.55,2.61,3.55,2.15,1.4,2.15,0,4.13,0,0,1.54,4.2,斯图加特,,2038827,,24.0,15.5,19.0,35.0,13.0,8.0,8.75,17.0,14.5,7.7,9.5,19.0,23.0,13.0,15.0,26.0,,,,2.0,2.0,3.7,中(防守矛盾⚠️),大球,"2,3",,,,,,,,,"3,4,5",1.8,1.6,0,"['首选2球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
1.8,1:1,2,圣保利,1,7.1,2,9.9,3,8.3,1,-2.5,2,-14.5,3,-17.6,3,-21.9,3,-32.1,0,0,0,0,0,0,2,9.8,2.1,4.2,7.5,3.9,3.25,3.9,6.2,14.0,25.0,36.0,2.4,2.96,3.9,3.9,1.87,2.03,1.87,0,3.2,0,0,1.7,4.4,柏林联合,,2038849,,7.5,9.0,22.0,65.0,5.25,5.25,12.0,45.0,7.5,6.75,17.0,65.0,17.0,16.0,32.0,100.0,,,,0.8,1.0,2.1,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",0.6,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
3.4,2:2,4,科隆,1,-6.7,2,0,2,0,1,-2.9,2,2.2,3,3.1,3,7.1,2,0,0,0,0,0,0,0,3,0,2.8,5.6,14.0,5.85,3.9,3.3,4.65,8.25,15.0,20.0,2.2,3.65,3.9,3.9,1.67,2.23,1.67,0,3.45,0,0,1.91,3.16,法兰克福,,2038855,,14.0,13.0,21.0,60.0,8.0,6.75,10.5,28.0,10.0,7.0,10.5,32.0,17.0,12.0,19.0,41.0,,,,1.4,2.0,2.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
4.8,2:2,4,霍芬海姆,0,0,1,3.8,1,4.9,1,-2.9,1,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,8.0,19.0,6.9,4.3,3.35,4.2,7.25,12.0,15.0,3.2,3.53,1.81,3.53,1.81,1.7199999999999998,3.4,1.0,3.7,0,1,3.4,1.77,奥格斯堡,,2038976,,19.0,10.0,11.0,19.0,14.0,7.25,7.25,11.5,22.0,10.5,10.0,15.0,45.0,22.0,22.0,33.0,,,,1.8,3.0,4.0,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",1.2,2.0,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
2.6,3:1,4,柏林联合,1,-4.2,3,5.0,4,-14.1,4,-7.2,4,18.8,3,15.8,3,29.4,2,11.1,0,0,0,0,0,0,1,-2.8,3.2,6.4,11.5,5.25,3.05,3.2,6.0,11.0,22.0,30.0,3.8,3.2,2.32,3.2,2.32,0.8800000000000003,2.6,1.0,4.16,0,1,4.9,1.46,海登海姆,,2039015,,11.5,8.0,10.0,20.0,10.0,5.9,7.0,15.0,16.0,9.0,11.5,22.0,37.0,23.0,29.0,60.0,,,,0.6,2.0,3.2,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",1.4,2.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
