a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.0,2:1,3,卡利亚里,1,5.0,1,10.6,2,-7.8,1,-4.1,1,2.5,1,4.3,1,4.8,0,0,0,0,0,0,0,0,3,-7.0,2.2,4.4,10.5,4.7,2.95,3.5,6.25,12.0,22.0,30.0,2.4,2.8,3.75,3.75,1.98,1.77,1.98,0,3.75,0,0,1.62,4.1,萨索洛,,2038815,,10.5,9.0,17.0,50.0,6.75,5.5,10.5,35.0,8.5,7.25,14.0,45.0,16.0,15.0,27.0,70.0,,,,0.6,1.4,2.2,中,小球,"0,2",,,,,,,,,"0,2",1.4,1.0,0,"['首选0球(变0%,n=1)', '双选0球+2球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
2.6,0:1,1,佛罗伦萨,1,-10.5,2,-8.5,0,0,0,0,1,4.0,2,16.7,2,31.8,2,28.6,0,0,0,0,0,0,4,-21.0,2.5,5.0,8.5,3.75,3.15,3.7,6.5,14.0,29.0,45.0,2.4,3.15,1.81,3.85,1.81,2.04,3.85,1.0,3.32,0,1,3.9,1.75,维罗纳,,2038825,,8.5,6.0,7.5,15.0,9.0,6.0,7.0,15.0,18.0,11.0,15.0,29.0,52.0,37.0,52.0,90.0,,,,1.8,0.8,2.5,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",0.6,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
2.0,1:1,2,帕尔马,1,5.9,2,-7.7,2,6.5,1,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,4.4,9.0,3.6,3.3,3.7,6.7,13.0,25.0,40.0,2.4,3.25,4.8,4.8,1.63,3.17,1.63,0,3.05,0,0,1.97,3.4,拉齐奥,,2038830,,9.0,10.0,24.0,90.0,5.25,5.75,14.0,60.0,6.75,7.0,18.0,60.0,11.5,14.0,30.0,100.0,,,,0.6,1.4,2.2,中,小球,"0,1",,,,,,,,,"0,1,2",1.4,1.0,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
2.8,1:2,3,博洛尼亚,0,0,1,5.7,0,0,1,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,5.8,10.5,4.6,3.25,3.45,5.9,11.0,20.0,30.0,3.0,3.07,2.0,3.3,2.0,1.2999999999999998,3.3,1.0,3.65,0,1,4.3,1.61,克雷莫纳,,2038847,,10.5,7.0,9.25,17.0,9.0,6.5,7.25,15.0,17.0,10.0,12.5,26.0,40.0,27.0,35.0,60.0,,,,1.2,1.6,2.9,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",0.8,2.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
3.6,0:1,1,都灵,1,-5.6,2,-10.0,2,0,2,1.4,1,4.6,1,11.5,2,17.4,2,28.6,0,0,0,0,0,0,1,-9.5,3.3,6.6,8.5,3.6,3.15,3.75,6.8,14.5,27.0,45.0,3.0,2.95,2.1,3.18,2.1,1.08,3.18,1.0,3.55,0,1,4.95,1.55,比萨,,2038856,,8.5,6.25,9.75,22.0,7.5,5.75,7.75,20.0,13.0,9.0,15.0,30.0,36.0,28.0,38.0,90.0,,,,1.8,1.8,3.3,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",0.6,2.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
3.0,5:2,7,罗马,1,8.3,3,3.3,3,-1.5,1,-2.8,1,-3.6,2,0,3,11.1,2,3.4,0,0,0,0,0,0,2,4.3,2.2,4.4,13.0,4.75,3.25,3.45,5.4,10.0,20.0,30.0,1.4,3.75,5.35,5.35,1.48,3.8699999999999997,1.48,0,3.1,0,0,2.3,2.69,国际米兰,,2038859,,13.0,14.0,30.0,100.0,6.5,7.2,14.0,55.0,6.5,6.25,15.0,55.0,10.0,11.5,24.0,70.0,,,,1.4,1.6,2.2,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,6",0.8,0.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
3.0,0:0,0,科莫,0,0,1,5.8,0,0,1,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.6,2.6,5.2,10.5,4.55,3.25,3.45,6.0,11.0,20.0,30.0,2.2,3.75,1.49,5.25,1.49,3.76,5.25,1.0,3.05,0,1,2.8,2.25,乌迪内斯,,2038863,,10.5,6.0,7.0,11.0,13.0,6.5,6.7,11.5,30.0,14.5,16.0,22.0,85.0,50.0,50.0,90.0,,,,2.4,0.6,2.6,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.4,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
3.8,0:3,3,亚特兰大,1,4.5,2,9.1,4,3.0,3,0,2,-4.3,4,-9.5,4,-10.5,4,-20.0,0,0,0,0,0,0,2,5.5,3.2,6.4,11.5,4.8,3.4,3.6,5.5,9.5,17.0,24.0,2.6,3.8,1.47,5.4,1.47,3.9300000000000006,5.4,1.0,3.22,0,1,2.67,2.25,莱切,,2038868,,11.5,6.25,6.75,11.5,13.0,6.5,6.5,12.5,27.0,13.0,15.0,25.0,85.0,55.0,50.0,80.0,,,,1.2,2.6,3.2,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",0.8,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
2.4,2:0,2,热那亚,2,-3.8,1,-4.1,2,-6.9,0,0,2,3.9,1,11.1,2,12.5,2,20.0,0,0,0,0,0,0,1,4.0,2.8,5.6,12.5,4.7,3.35,3.5,5.3,10.0,18.0,30.0,3.2,4.8,9.25,9.25,1.23,8.02,1.23,0,3.4,0,0,3.25,1.9,尤文图斯,,2038871,,12.5,17.0,50.0,200.0,5.75,8.0,22.0,100.0,5.4,7.25,23.0,90.0,7.25,11.0,30.0,150.0,,,,1.4,1.0,2.8,中,大球,"0,2",,,,,,,,,"3,4,5",2.4,0.8,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
2.0,1:0,1,AC米兰,0,0,3,-3.8,1,3.3,1,-6.5,0,0,1,14.3,2,16.0,1,12.5,0,0,0,0,0,0,1,-5.6,2.3,4.6,8.0,3.75,3.15,3.6,6.75,16.0,29.0,45.0,2.6,2.85,2.86,2.86,2.33,0.5299999999999998,2.33,0,3.7,0,0,1.46,5.75,那不勒斯,,2038873,,8.0,7.25,13.0,30.0,6.5,5.5,9.25,28.0,10.0,8.25,13.0,40.0,23.0,20.0,35.0,80.0,,,,1.2,0.8,2.3,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
