a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.4,0:1,1,维京,0,0,4,14.1,2,9.5,3,11.8,2,-4.5,2,-7.4,4,-21.7,4,-23.3,0,0,0,0,0,0,1,3.7,3.4,6.8,22.0,7.7,4.6,3.8,4.2,6.25,9.0,11.5,3.4,3.6,2.05,3.6,2.05,1.5500000000000003,2.75,1.0,4.1,0,1,4.05,1.57,瓦勒伦加,,2038867,,22.0,11.5,13.0,22.0,13.5,7.5,7.8,13.0,18.0,9.0,10.0,15.0,35.0,18.0,20.0,32.0,,,,2.4,1.0,3.4,中,大球,"1,2",,,,,,,,,"3,4,6",2.2,1.2,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
4.2,2:3,5,腓特烈斯塔,1,7.7,1,3.8,1,2.8,1,-1.5,2,-5.9,2,0,2,0,2,-8.0,0,0,0,0,0,0,0,0,3.7,7.4,14.0,5.4,3.7,3.35,4.8,8.75,16.0,23.0,3.2,3.25,2.47,3.25,2.4,0.8500000000000001,2.4,0,4.3,0,0,1.42,5.25,奥勒松,,2038914,,14.0,9.5,13.5,30.0,8.5,6.5,9.0,19.0,11.5,8.0,11.0,24.0,21.0,16.0,21.0,50.0,,,,2.2,2.0,3.7,弱,模糊,"0,1",,,,,,,,,"0,1,2",1.6,1.6,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
3.4,4:1,5,汉坎,0,0,2,12.9,2,3.7,1,-2.9,2,-8.7,1,1.4,0,0,0,0,0,0,0,0,0,0,1,7.1,3.3,6.6,19.0,7.0,4.25,3.35,4.2,7.1,12.0,16.0,3.2,4.6,6.25,6.25,1.33,4.92,1.33,0,3.6,0,0,2.75,2.05,莫尔德,,2039051,,19.0,18.0,40.0,100.0,8.0,8.0,16.0,50.0,7.5,6.5,14.0,45.0,10.0,9.5,18.0,55.0,,,,1.8,1.6,3.3,强,大球,"1,2",,,,,,,,,"3,4,5",1.6,1.6,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
3.2,3:0,3,奥勒松,1,16.7,4,23.1,3,11.1,3,11.8,2,-9.5,2,5.3,5,-3.8,3,-16.7,0,0,0,0,0,0,1,9.4,3.3,6.6,70.0,16.0,7.5,4.75,3.8,5.0,6.25,4.75,3.4,99.0,99.0,99.0,99.0,0.0,99.0,0,4.55,0,0,3.33,1.64,博德闪耀,,2039160,,70.0,80.0,150.0,400.0,17.0,22.0,50.0,100.0,9.0,11.0,23.0,80.0,7.5,8.5,22.0,70.0,,,,1.6,1.6,3.3,中,大球,"1,2",,,,,,,,,"3,4,7",1.6,1.8,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
2.0,0:1,1,利勒斯特罗姆,1,-9.1,1,-7.1,1,-2.4,1,1.4,1,4.5,1,1.5,1,4.3,0,0,0,0,0,0,0,0,0,0,2.2,4.4,20.0,6.5,4.1,3.5,4.6,6.7,12.0,14.0,2.4,3.45,2.45,3.45,2.32,1.1300000000000003,2.32,0,4.25,0,0,1.46,4.8,瓦勒伦加,,2039188,,20.0,12.5,15.0,32.0,11.5,8.0,8.5,17.0,13.0,7.5,10.0,20.0,21.0,14.0,18.0,30.0,,,,0.8,1.2,2.2,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",1.4,1.0,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
1.6,0:1,1,特罗姆瑟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,2.0,4.0,14.0,5.25,3.6,3.4,5.0,8.75,16.0,23.0,2.4,3.55,1.87,3.55,1.87,1.6799999999999997,3.2,1.0,3.6,0,1,3.8,1.7,萨尔普斯堡,,2039195,,14.0,8.5,10.5,20.0,10.5,6.5,7.0,14.0,17.0,9.0,12.0,19.0,40.0,21.0,26.0,50.0,,,,1.4,0.2,2.0,弱(高球不动降权),大球,"0,2",,,,,,,,,"0,2,3",1.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
2.6,5:1,6,瓦勒伦加,0,0,1,3.1,1,2.4,1,4.3,1,-2.2,1,-5.8,1,-4.3,1,-6.7,5,-1.3,5,4.6,5,-7.2,0,0,2.8,5.6,20.0,6.7,4.2,3.65,4.4,6.5,11.0,14.0,3.0,3.75,3.2,3.75,1.82,1.93,1.82,0,3.92,0,0,1.74,3.34,莫尔德,,2039345,,20.0,14.0,22.0,40.0,10.5,7.5,10.5,22.0,11.0,7.25,11.0,23.0,16.0,11.5,16.0,35.0,,,,1.2,1.4,2.8,强,大球,"1,2",,,,,,,,,"3,4,5",1.6,1.4,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
3.0,0:2,2,博德闪耀,1,7.4,2,6.2,2,3.2,1,4.2,1,-3.5,1,-2.5,1,-5.3,1,-9.1,0,0,0,0,0,0,0,0,2.3,4.6,29.0,8.5,4.85,3.7,4.15,5.75,9.0,10.0,1.6,4.1,1.7,4.1,1.7,2.3999999999999995,3.36,1.0,3.9,0,1,2.96,1.87,利勒斯特罗姆,,2039360,,29.0,13.0,12.0,18.0,17.0,8.0,7.5,11.5,24.0,10.0,10.0,14.0,45.0,22.0,23.0,28.0,,,,1.6,1.4,2.3,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",1.2,0.4,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
3.4,0:5,5,布兰,1,7.7,1,1.0,1,1.4,1,-1.5,1,-3.1,0,0,0,0,0,0,4,5.3,4,-7.0,4,9.4,0,0,2.6,5.2,14.0,5.25,3.75,3.35,4.75,9.0,16.0,23.0,1.8,3.58,3.72,3.72,1.72,2.0,1.72,0,3.53,0,0,1.85,3.27,特罗姆瑟,2026-04-30,2039412,,14.0,11.5,20.0,55.0,7.5,6.7,10.5,28.0,9.0,7.0,12.0,30.0,16.0,13.0,20.0,45.0,,,,1.76,1.38,2.6,弱(高球不动降权),大球,"0,2",,,,,,,,,"0,2,3",1.68,0.3,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
2.4,5:0,5,斯达,0,0,3,0,0,0,2,-4.7,3,-4.9,3,6.2,2,6.1,1,1.7,0,0,0,0,0,0,1,17.6,2.5999999999999996,5.199999999999999,50.0,13.0,6.5,4.1,3.9,5.15,7.0,6.0,2.8,99.0,99.0,99.0,99.0,0.0,99.0,0,4.6,0,0,1.99,2.44,博德闪耀,2026-05-01,2039418,,50.0,65.0,120.0,400.0,13.5,19.0,45.0,150.0,7.75,10.0,26.0,90.0,7.5,9.0,22.0,80.0,,,,0.88,1.68,2.6,强,大球,"1,2",,,,,,,,,"3,4,5",1.56,1.0,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,挪威超级联赛,联赛,其他联赛,欧洲,北欧联赛,挪威超级联赛
