a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.0,2:0,2,清水鼓动,0,0,3,5.7,3,7.7,3,-6.9,0,0,1,-4.5,1,-5.0,2,-16.7,0,0,0,0,0,0,2,-2.7,2.5,5.0,10.5,4.65,3.5,3.35,5.8,10.5,19.0,25.0,3.0,3.3,3.87,3.87,1.76,2.1100000000000003,1.76,0,3.25,0,0,1.84,3.6,神户胜利船,,2038742,,10.5,11.0,22.0,60.0,6.5,6.35,12.5,35.0,8.0,6.2,13.5,40.0,15.0,13.0,23.0,55.0,,,,1.4,0.6,2.5,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",2.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.0,0:3,3,东京FC,0,0,3,-3.7,3,6.3,2,-2.7,4,0.8,1,3.8,3,0,1,-12.5,0,0,0,0,0,0,4,-15.0,2.0,4.0,9.0,3.85,3.35,3.55,6.3,13.5,25.0,35.0,2.0,2.86,3.0,3.0,2.24,0.7599999999999998,2.24,0,3.65,0,0,1.48,5.55,町田泽维亚,,2038743,,9.0,8.0,14.0,40.0,6.5,5.8,9.5,27.0,10.0,7.5,13.5,35.0,22.0,17.0,30.0,70.0,,,,1.2,0.8,2.0,修正(否决),大球,"0,1",,,,,,,,,"3,4,6",1.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.4,2:0,2,京都不死鸟,0,0,2,6.1,3,2.9,2,2.9,1,-1.9,2,-5.6,4,-11.8,4,-24.1,0,0,0,0,0,0,1,-1.9,2.9,5.8,13.0,5.2,3.55,3.55,5.2,8.5,15.0,22.0,3.4,3.15,2.67,3.15,2.29,0.8599999999999999,2.29,0,3.85,0,0,1.48,5.15,大阪钢巴,,2038808,,13.0,9.0,13.0,29.0,8.5,6.2,8.1,20.0,12.0,7.5,11.5,25.0,24.0,16.0,23.0,55.0,,,,1.2,1.2,2.9,强(防守强化),大球,"0,1",,,,,,,,,"3,4,6",1.6,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.4,0:0,0,町田泽维亚,1,-5.3,1,-2.5,2,0,1,2.7,1,4.8,2,-11.5,2,8.7,2,5.7,0,0,0,0,0,0,0,0,2.3,4.6,9.0,3.9,3.2,3.75,6.5,11.5,25.0,37.0,2.2,2.96,2.88,2.96,2.25,0.71,2.25,0,3.88,0,0,1.48,5.1,东京FC,,2038838,,9.0,7.25,13.5,35.0,7.0,5.8,8.5,25.0,10.0,7.5,14.0,35.0,23.0,20.0,30.0,70.0,,,,0.8,1.6,2.3,强,小球,"0,1",,,,,,,,,"0,1,2",1.8,0.4,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.6,3:2,5,浦和红钻,1,7.1,2,7.1,2,2.7,2,6.0,2,-7.0,1,-3.1,3,-13.3,4,-22.7,0,0,0,0,0,0,1,3.6,2.7,5.4,15.0,6.0,3.85,3.55,4.65,7.75,13.0,17.0,2.8,3.2,2.42,3.2,2.42,0.7800000000000002,2.48,1.0,4.1,0,1,5.36,1.43,川崎前锋,,2038839,,15.0,9.8,14.0,25.0,10.5,6.5,7.5,16.0,14.5,8.5,9.75,20.0,29.0,18.0,22.0,38.0,,,,1.2,1.4,2.7,强(防守一致),大球,"0,1",,,,,,,,,"3,4,6",1.0,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
3.6,3:2,5,名古屋鲸八,3,0,3,0,3,0,2,0,3,0,3,0,3,0,2,0,0,0,0,0,0,0,1,1.9,3.4000000000000004,6.800000000000001,11.0,4.4,3.3,3.55,5.8,10.5,20.0,30.0,3.2,3.3,3.55,3.55,1.84,1.7099999999999997,1.84,0,3.4,0,0,1.72,3.95,神户胜利船,,2039004,,11.0,9.5,18.0,50.0,6.0,5.85,11.5,33.0,8.25,7.25,14.0,36.0,17.0,15.5,25.0,80.0,,,,2.0,1.6,3.4,弱,模糊,"0,1",,,,,,,,,"0,1,2",2.2,1.0,0,"['首选0球(变0%,n=3)', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.2,0:2,2,鹿岛鹿角,1,6.7,3,1.7,1,1.3,2,0,3,-2.0,0,0,1,-3.6,1,-9.5,0,0,0,0,0,0,1,3.3,2.6,5.2,16.0,5.85,3.8,3.4,4.8,7.75,13.5,19.0,3.0,3.4,2.05,3.4,2.05,1.35,2.88,1.0,3.7,0,1,4.3,1.6,川崎前锋,,2039033,,16.0,9.0,12.0,21.0,11.0,6.85,7.25,14.0,16.0,9.0,11.0,20.0,32.0,19.0,23.0,40.0,,,,1.8,0.4,2.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
3.2,3:0,3,京都不死鸟,2,-26.7,2,-14.8,2,-6.8,1,-2.9,2,20.0,2,25.0,2,28.6,2,27.3,0,0,0,0,0,0,1,-6.0,2.8,5.6,11.0,4.6,3.4,3.4,6.0,10.0,18.0,28.0,2.4,3.35,2.94,3.35,2.04,1.31,2.04,0,3.8,0,0,1.58,4.3,大阪樱花,,2039154,,11.0,9.75,15.0,30.0,8.5,6.25,8.5,22.0,12.0,7.0,11.0,28.0,21.0,16.0,26.0,45.0,,,,1.8,1.4,2.8,弱,大球,"0,2",,,,,,,,,"0,2,3",1.0,1.4,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
3.4,2:2,4,冈山绿雉,1,4.5,2,4.5,2,-6.0,3,0,0,0,2,0,3,5.0,3,9.4,0,0,0,0,0,0,4,13.5,2.8,5.6,11.5,4.6,3.15,3.5,5.7,10.5,21.0,35.0,2.2,3.52,4.7,4.7,1.58,3.12,1.58,0,3.25,0,0,2.07,2.95,大阪钢巴,,2039181,,11.5,10.5,18.5,50.0,7.0,6.5,11.0,28.0,8.5,6.5,13.0,35.0,15.0,12.5,24.0,70.0,,,,1.0,2.4,2.8,0球区间铁律,小球,"0,1",,,,,,,,,"0,1,2",1.4,0.8,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
2.2,2:2,4,福冈黄蜂,0,0,2,8.7,1,6.2,2,1.4,2,-5.6,3,-16.7,3,-18.2,3,-16.7,0,0,0,0,0,0,2,12.0,3.1,6.2,10.0,4.35,3.4,3.7,5.85,10.0,18.0,30.0,4.0,3.42,5.0,5.0,1.57,3.4299999999999997,1.57,0,3.16,0,0,2.1,2.97,名古屋鲸八,,2039182,,10.0,10.5,25.0,65.0,6.0,6.5,13.0,55.0,6.75,6.5,16.0,55.0,12.5,12.0,27.0,80.0,,,,1.6,0.6,3.1,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",2.4,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,日本职业联赛,联赛,其他联赛,亚洲,亚洲联赛,日本职业联赛
