a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.2,0:1,1,阿森纳,1,8.3,3,8.7,2,9.1,2,-9.9,5,-10.9,4,5.0,3,0,3,0,0,0,0,0,0,0,1,-4.2,3.2,6.4,13.0,5.0,3.6,3.2,4.9,10.5,19.0,30.0,4.2,3.55,1.61,4.42,1.61,2.8099999999999996,4.42,1.0,3.4,0,1,3.02,1.99,里斯本竞技,,2038915,,13.0,6.75,8.0,12.0,12.0,6.6,7.0,13.0,24.0,13.0,14.0,23.0,55.0,35.0,40.0,55.0,,,,1.2,1.0,3.2,强(防守一致),大球,"0,2",,,,,,,,,"3,5,6",2.6,1.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,欧洲冠军联赛,杯赛,杯赛,欧洲,欧战,欧洲冠军联赛
4.6,1:2,3,拜仁慕尼黑,3,32.0,3,25.0,4,20.0,2,-1.4,4,-9.3,2,-8.3,2,-10.5,2,-17.4,0,0,0,0,0,0,0,0,4.199999999999999,8.399999999999999,33.0,10.0,5.4,3.6,3.9,5.5,8.5,9.5,3.8,3.85,2.13,3.85,2.13,1.7200000000000002,2.5,1.0,4.25,0,1,4.1,1.54,皇家马德里,,2038916,,33.0,14.0,15.0,22.0,17.0,8.0,8.25,15.0,21.0,9.0,9.25,16.0,30.0,18.0,18.0,24.0,,,,3.6,1.0,4.2,中,大球,"1,2",,,,,,,,,"3,4,5",2.6,1.2,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,欧洲冠军联赛,杯赛,杯赛,欧洲,欧战,欧洲冠军联赛
2.0,1:1,2,皇家贝蒂斯,1,-4.8,2,0,2,-1.6,2,0,2,4.3,3,4.5,3,0,3,0,0,0,0,0,0,0,1,-6.5,2.4,4.8,10.0,4.45,3.1,3.55,6.0,11.5,23.0,37.0,2.8,2.94,2.75,2.94,2.35,0.5899999999999999,2.35,0,3.83,0,0,1.46,5.45,布拉加,,2038921,,10.0,8.0,12.5,30.0,7.5,6.0,8.5,23.0,11.5,8.25,12.0,30.0,24.0,20.0,28.0,60.0,,,,1.2,0.8,2.4,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,欧罗巴联赛,杯赛,杯赛,欧洲,欧战,欧罗巴联赛
4.2,0:2,2,马德里竞技,2,25.9,3,25.0,5,21.1,6,1.4,5,-8.1,4,-8.3,4,-10.5,4,-25.0,0,0,0,0,0,0,2,12.5,4.300000000000001,8.600000000000001,34.0,10.0,5.45,3.6,3.95,5.5,8.5,9.0,4.4,4.96,5.5,5.5,1.34,4.16,1.34,0,3.6,0,0,2.66,2.1,巴塞罗那,,2038923,,34.0,26.0,40.0,60.0,11.0,9.5,15.0,30.0,10.0,7.0,12.0,26.0,13.0,9.0,14.0,32.0,,,,2.2,2.0,4.3,强,大球,"1,5",,,,,,,,,"5,6,7",3.2,1.2,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+5球']",1,欧洲冠军联赛,杯赛,杯赛,欧洲,欧战,欧洲冠军联赛
2.8,2:0,2,利物浦,1,4.3,4,2.7,2,4.7,4,-7.1,4,-10.2,3,5.4,4,15.0,3,15.4,0,0,0,0,0,0,4,0,3.6,7.2,24.0,7.7,4.5,3.25,3.95,6.85,11.5,15.0,4.4,3.8,3.9,3.9,1.64,2.26,1.64,0,3.78,0,0,1.97,2.8,巴黎圣日尔曼,,2038924,,24.0,17.0,26.0,55.0,11.0,8.0,12.0,28.0,11.0,7.0,11.5,25.0,15.0,10.0,16.0,28.0,,,,1.2,1.6,3.6,中(防守矛盾⚠️),大球,"1,2",,,,,,,,,"3,4,5",3.2,1.2,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,欧洲冠军联赛,杯赛,杯赛,欧洲,欧战,欧洲冠军联赛
2.8,3:0,3,雅典AEK,1,5.9,3,-1.3,3,6.5,2,-6.7,1,3.8,3,-3.8,3,-3.8,2,-12.5,0,0,0,0,0,0,0,0,2.3,4.6,9.0,3.9,3.3,3.5,6.75,12.5,25.0,35.0,1.8,3.1,4.2,4.2,1.76,2.4400000000000004,1.76,0,3.1,0,0,1.84,3.8,巴列卡诺,,2038928,,9.0,9.5,21.0,55.0,5.8,6.0,13.0,40.0,7.5,7.25,16.0,40.0,14.0,15.0,30.0,70.0,,,,2.0,0.8,2.3,0球区间铁律,小球,"0,1",,,,,,,,,"0,1,2",1.0,0.8,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,欧洲协会联赛,杯赛,杯赛,欧洲,欧战,欧洲协会联赛
3.6,3:0,3,维戈塞尔塔,1,-9.5,1,-5.4,3,3.1,1,2.9,3,2.7,2,0,4,0,4,0,0,0,0,0,0,0,0,0,3.4000000000000004,6.800000000000001,9.5,4.35,3.3,3.6,5.75,10.5,23.0,38.0,3.2,3.08,3.15,3.15,2.05,1.1,2.05,0,3.65,0,0,1.58,4.5,弗赖堡,,2038929,,9.5,9.0,15.5,36.0,7.25,6.5,9.5,24.0,10.0,7.75,12.0,30.0,22.0,17.0,25.0,60.0,,,,2.0,1.6,3.4,0球区间铁律,小球,"0,1",,,,,,,,,"0,1,2",1.8,1.4,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,欧罗巴联赛,杯赛,杯赛,欧洲,欧战,欧罗巴联赛
2.2,1:1,2,诺丁汉森林,3,-23.8,4,-14.0,2,0,3,5.6,4,16.4,5,21.7,5,15.4,5,37.1,0,0,0,0,0,0,3,-21.3,2.6,5.2,8.0,3.7,3.1,3.8,6.75,14.0,30.0,48.0,3.0,3.0,3.63,3.63,1.92,1.71,1.92,0,3.55,0,0,1.66,4.1,波尔图,,2038930,,8.0,8.5,18.0,50.0,6.0,6.25,11.0,33.0,8.0,7.75,15.0,37.0,20.0,17.0,28.0,80.0,,,,1.4,0.8,2.6,0球区间铁律,小球,"0,1",,,,,,,,,"0,1,2",2.2,0.8,0,"['首选0球(变0%,n=3)', '双选0球+1球']",0,欧罗巴联赛,杯赛,杯赛,欧洲,欧战,欧罗巴联赛
2.4,1:3,4,阿斯顿维拉,1,-13.6,4,-5.6,2,1.5,2,-1.4,4,5.4,4,9.5,3,13.6,3,14.3,0,0,0,0,0,0,0,0,2.5999999999999996,5.199999999999999,9.5,4.25,3.3,3.45,5.9,11.5,25.0,40.0,2.8,3.18,1.89,3.5,1.89,1.61,3.5,1.0,3.43,0,1,4.0,1.7,博洛尼亚,,2038931,,9.5,6.5,9.0,19.0,9.25,6.2,7.25,15.0,16.0,10.0,14.0,26.0,45.0,32.0,42.0,60.0,,,,1.4,1.0,2.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.4,1.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,欧罗巴联赛,杯赛,杯赛,欧洲,欧战,欧罗巴联赛
2.8,3:0,3,佛罗伦萨,1,-8.3,1,-4.3,1,3.0,2,-5.6,0,0,2,10.0,2,21.1,2,23.3,0,0,0,0,0,0,1,-6.7,2.3,4.6,11.0,4.4,3.4,3.35,5.5,11.0,23.0,37.0,1.8,3.76,5.6,5.6,1.46,4.14,1.46,0,3.0,0,0,2.31,2.75,水晶宫,,2038932,,11.0,13.5,29.0,70.0,6.5,7.5,17.0,45.0,6.75,6.75,15.0,50.0,11.0,11.0,22.0,60.0,,,,2.0,0.8,2.3,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",1.0,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,欧洲协会联赛,杯赛,杯赛,欧洲,欧战,欧洲协会联赛
