a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,3:1,4,图卢兹,3,23.8,4,22.4,4,13.3,2,-5.6,3,-12.5,1,-3.6,1,-4.5,1,-7.7,0,0,0,0,0,0,2,13.5,3.3,6.6,26.0,8.2,4.7,3.4,3.85,6.75,10.5,12.0,3.8,6.15,11.25,11.25,1.14,10.11,1.14,0,3.8,0,0,2.1,2.57,巴黎圣日尔曼,,2038791,,26.0,32.0,80.0,250.0,8.5,11.0,30.0,100.0,6.5,7.5,20.0,70.0,7.25,8.25,23.0,75.0,,,,1.4,1.4,3.3,强,大球,"1,2",,,,,,,,,"3,4,5",2.8,1.0,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
3.6,1:0,1,埃尔切,1,8.3,1,7.5,0,0,1,-2.8,1,-4.5,1,-2.5,1,-5.6,0,0,0,0,0,0,0,0,0,0,2.8,5.6,13.0,5.0,3.35,3.45,5.25,9.75,17.0,27.0,2.0,3.52,4.26,4.26,1.64,2.62,1.64,0,3.2,0,0,1.99,3.18,巴列卡诺,,2038793,,13.0,13.0,23.0,60.0,6.5,6.25,11.5,40.0,7.5,6.75,14.0,50.0,12.5,12.5,23.0,75.0,,,,1.6,2.0,2.8,0球区间铁律,大球,"0,1",,,,,,,,,"3,4,5",1.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
2.0,4:2,6,圣克拉拉,0,0,2,5.9,2,6.8,2,-7.2,3,-10.0,2,3.5,2,12.5,2,13.0,0,0,0,0,0,0,1,-2.5,2.6,5.2,14.0,5.4,3.9,3.2,4.5,8.9,18.0,26.0,3.2,5.35,12.5,12.5,1.16,11.34,1.16,0,3.9,0,0,1.84,3.03,里斯本竞技,,2038794,,14.0,24.0,100.0,550.0,5.8,10.0,34.0,200.0,4.9,7.5,30.0,200.0,6.0,10.5,35.0,250.0,,,,1.4,0.6,2.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",2.0,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
2.8,0:0,0,瓦萨,2,-11.1,2,-7.7,2,-5.0,3,8.7,2,8.9,1,2.1,1,-8.3,1,-6.1,0,0,0,0,0,0,1,3.9,2.7,5.4,16.0,6.0,3.8,3.75,4.9,7.35,11.0,15.5,2.6,4.85,7.05,7.05,1.28,5.77,1.28,0,3.5,0,0,3.02,1.95,国际图尔库,,2038811,,16.0,20.0,40.0,100.0,7.5,8.3,22.0,75.0,7.25,7.0,15.5,45.0,9.5,9.0,19.0,55.0,,,,1.8,1.0,2.7,强,大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
3.0,2:0,2,莱万特,3,42.9,4,27.4,4,13.9,3,7.4,4,-13.0,4,-17.6,4,-31.2,4,-43.8,0,0,0,0,0,0,0,0,3.0,6.0,20.0,6.75,4.1,3.65,4.35,7.0,11.0,13.5,3.0,4.2,5.65,5.65,1.4,4.25,1.4,0,3.15,0,0,2.48,2.45,皇家社会,,2038814,,20.0,18.0,33.0,80.0,8.0,7.5,15.0,40.0,7.5,6.75,13.0,40.0,10.0,11.0,20.0,45.0,,,,1.6,1.4,3.0,强,大球,"2,3",,,,,,,,,"3,4,5",1.6,1.4,0,"['首选2球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
2.0,2:1,3,卡利亚里,1,5.0,1,10.6,2,-7.8,1,-4.1,1,2.5,1,4.3,1,4.8,0,0,0,0,0,0,0,0,3,-7.0,2.2,4.4,10.5,4.7,2.95,3.5,6.25,12.0,22.0,30.0,2.4,2.8,3.75,3.75,1.98,1.77,1.98,0,3.75,0,0,1.62,4.1,萨索洛,,2038815,,10.5,9.0,17.0,50.0,6.75,5.5,10.5,35.0,8.5,7.25,14.0,45.0,16.0,15.0,27.0,70.0,,,,0.6,1.4,2.2,中,小球,"0,2",,,,,,,,,"0,2",1.4,1.0,0,"['首选0球(变0%,n=1)', '双选0球+2球']",0,意大利甲级联赛,联赛,顶级联赛,欧洲,五大联赛,意大利甲级联赛
3.4,3:0,3,米亚尔比,1,8.3,3,12.8,3,7.4,2,-1.4,2,-9.1,2,-5.3,3,-16.7,3,-20.0,0,0,0,0,0,0,0,0,3.7,7.4,13.0,5.3,3.65,3.5,5.0,9.0,15.0,20.0,4.0,3.35,3.45,3.45,1.85,1.6,1.85,0,3.55,0,0,1.73,3.72,哈马比,,2038816,,13.0,11.0,20.0,50.0,7.5,6.25,9.5,28.0,9.0,7.0,12.5,30.0,17.0,13.5,23.0,45.0,,,,2.8,0.6,3.7,强(防守强化),大球,"0,1",,,,,,,,,"3,4,6",3.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.2,1:2,3,莱比锡红牛,0,0,2,7.1,2,3.5,2,0,0,0,1,-2.2,1,-9.1,1,-7.1,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,20.0,7.5,4.4,3.5,4.35,6.6,10.0,13.0,2.6,3.85,1.64,3.85,1.64,2.21,3.85,1.0,3.65,0,1,2.92,1.95,云达不来梅,,2038818,,20.0,10.5,10.5,16.0,16.0,7.5,7.0,11.0,24.0,11.0,10.5,16.0,50.0,26.0,23.0,31.0,,,,2.2,1.0,2.9,强,大球,"1,2",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
4.6,2:3,5,拜仁慕尼黑,2,-25.8,2,-21.5,2,-16.2,2,-4.0,2,7.5,2,14.5,2,23.5,2,33.3,0,0,0,0,0,0,2,-10.5,4.0,8.0,23.0,7.5,4.4,3.6,4.3,6.3,10.5,12.0,3.4,4.6,1.37,5.5,1.37,4.13,5.5,1.0,3.9,0,1,2.05,2.6,弗赖堡,,2038819,,23.0,10.5,9.0,10.5,19.0,9.5,7.5,9.5,34.0,15.0,13.0,16.0,90.0,39.0,33.0,35.0,,,,3.8,0.8,4.0,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",2.0,1.4,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
3.0,4:3,7,沃尔夫斯堡,1,4.3,1,3.3,1,1.1,2,7.1,1,3.5,2,-6.1,2,-10.0,2,-15.4,0,0,0,0,0,0,3,3.0,3.3,6.6,24.0,7.75,4.45,3.75,4.4,6.15,9.0,11.0,3.6,4.85,6.5,6.5,1.3,5.2,1.3,0,3.75,0,0,2.84,1.96,勒沃库森,,2038820,,24.0,24.0,45.0,125.0,9.5,9.5,18.5,51.0,7.5,7.0,14.0,39.0,9.5,8.75,16.0,43.0,,,,0.8,2.2,3.3,强,大球,"2,3",,,,,,,,,"3,4,5",1.6,2.0,0,"['首选2球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
2.2,1:2,3,美因茨,3,-26.3,4,-12.1,4,-8.5,2,7.2,3,9.1,3,4.3,4,16.7,4,12.5,0,0,0,0,0,0,0,0,3.3000000000000003,6.6000000000000005,14.0,5.8,3.75,3.7,4.8,7.25,14.0,18.0,4.4,4.05,4.3,4.3,1.54,2.76,1.54,0,3.55,0,0,2.11,2.68,霍芬海姆,,2038821,,14.0,14.0,23.0,65.0,9.25,7.75,12.0,30.0,9.0,7.0,11.5,30.0,16.0,11.5,16.0,40.0,,,,1.6,0.6,3.3,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.6,2.8,0,"['首选0球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
3.8,1:1,2,奥格斯堡,1,7.7,1,3.0,1,1.4,1,5.8,0,0,2,-8.3,2,-17.6,2,-18.5,0,0,0,0,0,0,2,-8.1,3.3,6.6,14.0,5.15,3.6,3.65,5.0,8.3,14.0,22.0,2.8,2.95,2.78,2.95,2.32,0.6300000000000003,2.32,0,4.05,0,0,1.45,5.2,汉堡,,2038822,,14.0,10.0,16.0,35.0,8.75,6.25,9.0,21.0,11.0,7.5,10.5,26.0,20.0,15.0,22.0,45.0,,,,1.6,2.2,3.3,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.2,1.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,德国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,德国甲级联赛
