a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.2,1:0,1,拉斯决心,0,0,1,3.3,2,-2.3,3,2.8,2,-4.8,3,3.9,2,0,2,0,0,0,0,0,0,0,1,-5.9,2.9000000000000004,5.800000000000001,25.0,7.75,4.3,3.7,4.0,6.7,10.0,12.0,2.6,5.4,8.0,8.0,1.22,6.78,1.22,0,3.55,0,0,3.42,1.8,吉达联合,,2038788,,25.0,24.0,55.0,150.0,8.75,10.5,21.0,65.0,7.25,8.0,16.0,50.0,8.5,8.5,20.0,50.0,,,,1.4,1.8,2.9,强,大球,"2,3",,,,,,,,,"3,4,5",1.0,1.6,0,"['首选2球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.6,2:2,4,布赖代合作,2,-17.2,2,-13.2,1,-8.5,2,-8.1,1,2.4,2,11.0,2,17.0,2,44.3,0,0,0,0,0,0,2,-10.9,3.5,7.0,24.0,7.25,4.3,3.4,4.3,6.55,11.0,14.0,3.4,5.5,10.0,10.0,1.18,8.82,1.18,0,3.85,0,0,1.95,2.8,利雅得新月,,2038829,,24.0,27.0,65.0,200.0,7.75,10.5,26.0,85.0,6.5,8.0,19.0,65.0,7.5,9.0,23.0,55.0,,,,1.8,1.8,3.5,强,大球,"2,3",,,,,,,,,"3,4,5",2.4,1.0,0,"['首选2球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.6,3:2,5,胡巴尔卡德西亚,2,20.8,2,13.8,3,13.8,2,1.4,3,-10.2,1,-5.3,1,-10.0,1,-12.0,0,0,0,0,0,0,1,3.0,3.6,7.2,29.0,8.25,4.95,3.55,3.95,6.25,9.0,11.0,3.6,5.15,1.28,6.5,1.28,5.22,6.5,1.0,3.7,0,1,1.9,3.0,达曼协定,,2038858,,29.0,10.0,8.25,10.5,23.0,10.0,7.2,8.75,42.0,17.5,14.0,18.0,90.0,45.0,40.0,40.0,,,,2.6,1.0,3.6,强(防守一致),大球,"2,3",,,,,,,,,"3,4,5",1.2,2.4,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.2,3:4,7,新未来SC,2,-3.1,5,9.1,3,7.0,3,-8.8,3,-3.1,3,1.2,1,3.2,0,0,0,0,0,0,0,0,2,-5.4,2.3,4.6,15.5,6.0,3.8,3.1,4.7,8.2,16.0,25.0,2.4,3.9,4.85,4.85,1.5,3.3499999999999996,1.5,0,3.03,0,0,2.2,2.9,吉达联合,,2038922,,15.5,15.0,28.0,75.0,7.5,7.75,13.0,37.0,8.5,6.5,13.0,32.0,12.5,10.0,18.0,50.0,,,,1.0,1.2,2.3,近小球+0球过高→大球,大球,"0,2",,,,,,,,,"3,4,5",1.0,1.4,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
4.4,1:1,2,胡巴尔卡德西亚,1,-13.0,2,-6.6,2,-5.9,4,-4.3,2,-1.1,5,11.9,5,17.4,5,33.3,0,0,0,0,0,0,3,-16.2,3.5,7.0,20.0,6.4,4.0,3.3,4.3,7.5,13.5,18.0,2.6,4.6,1.34,6.05,1.34,4.71,6.05,1.0,3.55,0,1,2.1,2.7,达马克,,2038927,,20.0,7.5,7.25,9.5,17.0,8.75,6.8,9.5,35.0,17.0,15.0,19.0,100.0,55.0,50.0,50.0,,,,2.8,1.6,3.5,强,大球,"1,2",,,,,,,,,"3,4,5",1.4,1.2,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.2,2:1,3,新未来SC,1,-5.9,1,-3.4,0,0,0,0,0,0,0,0,1,7.7,1,10.5,0,0,0,0,0,0,0,0,4.0,8.0,16.0,5.6,3.8,3.45,4.7,7.8,14.0,21.0,4.8,4.16,1.46,4.9,1.46,3.4400000000000004,4.9,1.0,3.37,0,1,2.54,2.28,欧奈宰纳伊马,,2039022,,16.0,8.0,8.5,13.0,14.5,8.0,6.5,11.0,24.0,12.0,12.0,18.0,65.0,35.0,35.0,50.0,,,,1.6,1.6,4.0,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",0.8,4.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.6,2:2,4,利雅得青年,2,30.4,4,21.7,3,13.2,2,-1.4,1,-2.4,3,-11.3,4,-11.9,4,-18.8,0,0,0,0,0,0,1,3.0,3.6,7.2,30.0,9.25,5.15,3.5,4.15,5.5,9.25,9.75,3.6,4.48,4.95,4.95,1.42,3.5300000000000002,1.42,0,3.28,0,0,2.45,2.4,胡巴尔卡德西亚,,2039101,,30.0,25.0,36.0,75.0,11.0,10.0,14.0,31.0,10.5,6.5,11.0,26.0,14.0,10.0,14.0,30.0,,,,1.6,2.0,3.6,强,大球,"2,3",,,,,,,,,"3,4,5",2.2,1.4,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.6,1:2,3,布赖代合作,1,-11.8,1,-6.7,0,0,1,5.9,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2,6.1,4.0,8.0,15.0,5.6,3.9,3.6,4.8,7.5,13.0,18.0,4.4,4.2,1.42,5.35,1.42,3.9299999999999997,5.35,1.0,3.4,0,1,2.39,2.4,欧奈宰纳伊马,,2039266,,15.0,8.0,7.5,11.5,17.0,7.75,6.8,10.0,32.0,15.0,14.0,19.0,75.0,40.0,40.0,50.0,,,,1.8,1.8,4.0,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.2,3.2,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.0,2:1,3,利雅得,0,0,2,18.4,2,8.3,1,-4.3,2,-11.5,1,-6.8,1,-6.2,1,-8.3,0,0,0,0,0,0,0,0,2.8,5.6,14.0,5.8,3.9,3.3,4.6,8.2,15.0,22.0,2.6,3.3,2.38,3.3,2.38,0.9199999999999999,2.46,1.0,4.15,0,1,5.15,1.44,拉斯决心,,2039291,,14.0,8.8,12.0,20.0,9.5,6.4,8.0,18.0,13.0,8.5,11.5,22.0,28.0,21.0,24.0,45.0,,,,1.4,1.6,2.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.4,1:1,2,拉斯决心,3,33.3,8,27.3,6,6.7,8,-1.4,4,-8.2,5,-13.4,4,-17.9,5,-25.0,5,7.7,5,-4.7,5,8.1,1,7.7,2.8,5.6,20.0,7.0,4.0,3.4,4.5,7.1,11.5,15.0,3.2,4.2,5.35,5.35,1.42,3.9299999999999997,1.42,0,3.25,0,0,2.45,2.42,新未来SC,2026-04-29,2039401,,20.0,20.0,35.0,80.0,8.25,7.5,14.0,45.0,8.0,7.0,12.5,38.0,11.0,10.0,18.0,45.0,,,,1.5,0.88,2.8,强(防守一致),大球,"4,6",,,,,,,,,"4,6",1.74,1.74,0,"['首选4球(变0%,n=4)', '双选4球+6球']",4,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.8,2:1,3,达马克,1,13.2,3,20.0,3,14.8,3,0,3,-6.1,2,-1.9,1,-2.6,2,-14.3,0,0,0,0,0,0,0,0,3.3,6.6,43.0,12.0,6.2,4.0,3.85,5.2,7.5,6.6,3.8,99.0,99.0,99.0,99.0,0.0,99.0,0,3.9,0,0,2.85,1.92,利雅得新月,2026-04-29,2039402,,43.0,50.0,120.0,400.0,12.5,16.0,40.0,120.0,7.5,9.25,25.0,80.0,7.0,10.5,26.0,80.0,,,,1.66,0.96,3.3,强,大球,"1,2",,,,,,,,,"3,4,5",2.98,1.43,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
1.6,2:0,2,吉达国民,0,0,1,4.2,1,1.2,1,-1.4,1,-2.3,0,0,0,0,0,0,5,3.7,5,-3.8,5,7.2,2,3.6,2.8,5.6,23.0,7.5,4.3,3.45,4.3,6.5,10.5,13.5,4.0,4.2,4.45,4.45,1.5,2.95,1.5,0,3.28,0,0,2.2,2.7,利雅得胜利,2026-04-30,2039413,,23.0,18.5,25.0,55.0,10.5,8.5,13.5,31.0,10.0,7.0,12.0,26.0,13.0,10.0,15.0,35.0,,,,0.98,0.55,2.8,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",3.54,0.54,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.2,1:1,2,迈季迈阿宽广,1,-7.7,4,-2.0,2,-2.8,4,-1.5,4,-0.9,2,11.8,3,11.8,3,16.0,3,-5.8,4,11.5,4,-7.2,1,-1.8,2.9000000000000004,5.800000000000001,12.0,5.0,3.45,3.35,5.25,9.5,19.0,29.0,3.6,3.06,2.56,3.06,2.43,0.6299999999999999,2.43,0,4.25,0,0,1.41,5.45,拉斯永恒,2026-05-01,2039419,,12.0,9.5,12.0,31.0,8.3,6.25,9.1,21.0,11.5,7.8,13.0,25.0,23.0,18.0,24.0,45.0,,,,1.0,1.02,2.9,强(防守一致),大球,"0,1",,,,,,,,,"3,4,6",1.25,2.5,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.8,0:3,3,利雅得新月,1,13.3,1,6.9,1,1.9,0,0,0,0,1,-1.8,1,-1.8,1,-8.3,0,0,0,0,0,0,0,0,3.0,6.0,34.0,9.35,5.35,3.8,4.1,5.5,8.25,8.25,2.2,99.0,99.0,99.0,99.0,0.0,99.0,2.0,4.0,0,1,2.1,2.48,拉斯决心,2026-05-03,2039471,,34.0,10.5,7.0,7.0,40.0,14.0,8.5,9.3,90.0,30.0,22.0,22.0,350.0,120.0,80.0,70.0,,,,2.58,1.14,3.0,中(盘口矛盾),大球,"1,2",,,,,,,,,"3,4,5",1.4,0.81,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.0,3:1,4,利雅得胜利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-6.2,3,-7.1,3,6.5,1,-2.5,3.5,7.0,26.0,7.8,4.75,3.55,4.2,5.8,9.8,12.0,4.0,3.8,1.79,3.8,1.79,2.01,3.25,1.0,3.85,0,1,3.3,1.77,胡巴尔卡德西亚,2026-05-04,2039500,,26.0,11.0,12.0,17.0,17.0,9.0,7.0,10.5,25.0,11.0,10.5,14.0,50.0,24.0,20.0,30.0,,,,2.94,0.24,3.5,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",2.53,1.37,0,"['首选1球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.4,0:0,0,拉斯永恒,0,0,1,6.2,1,2.4,1,-2.9,1,-2.3,0,0,0,0,0,0,1,3.5,1,-2.2,1,5.8,0,0,2.8,5.6,20.0,6.9,4.25,3.35,4.3,6.8,12.0,16.0,2.2,4.45,6.35,6.35,1.34,5.01,1.34,0,3.5,0,0,2.7,2.12,吉达联合,2026-05-05,2039513,,20.0,19.5,36.0,90.0,8.5,9.0,15.0,40.0,8.0,6.5,13.0,45.0,10.5,9.75,17.0,45.0,,,,1.2,2.1,2.8,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",1.17,0.85,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
4.0,1:2,3,利雅得新月,0,0,1,5.3,1,3.7,3,-6.4,3,-8.5,2,5.6,2,6.2,2,9.8,0,0,0,0,0,0,0,0,3.6,7.2,34.0,10.0,5.6,3.65,3.75,5.65,8.5,9.0,3.2,6.7,1.12,11.5,1.12,10.379999999999999,11.5,2.0,3.95,0,1,2.37,2.2,赛哈特海湾,2026-05-06,2039543,,34.0,11.0,8.0,8.5,32.0,13.0,8.0,9.0,60.0,23.0,19.0,18.0,200.0,70.0,50.0,50.0,,,,2.86,0.81,3.6,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",1.61,1.34,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
1.8,3:1,4,穆拜赖兹征服,0,0,4,6.7,2,4.4,3,-4.3,4,-5.9,5,2.4,5,10.0,4,0,3,6.2,4,-4.0,4,19.0,1,3.8,2.1,4.2,24.0,8.0,4.75,3.3,4.0,6.5,11.0,13.0,2.4,5.5,8.75,8.75,1.2,7.55,1.2,0,3.9,0,0,3.6,1.68,吉达国民,2026-05-07,2039552,,24.0,26.0,55.0,120.0,10.0,10.5,21.0,70.0,7.8,6.5,16.0,50.0,9.0,8.5,17.0,50.0,,,,1.02,1.11,2.1,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,7",1.74,0.75,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.4,2:4,6,利雅得胜利,0,0,6,-2.6,2,0.9,4,-7.9,4,-9.9,4,6.2,4,15.6,5,24.2,1,3.4,1,5.5,1,-1.7,1,-8.7,3.4,6.8,31.0,9.25,5.5,3.5,3.65,6.0,9.25,10.25,3.4,6.0,1.18,8.7,1.18,7.52,8.7,2.0,3.83,0,1,2.75,1.98,利雅得青年,2026-05-08,2039556,,31.0,11.0,8.0,9.5,28.0,11.5,7.5,8.5,60.0,24.0,16.0,17.0,150.0,65.0,50.0,45.0,,,,2.46,1.08,3.4,强(防守一致),大球,"2,3",,,,,,,,,"3,4,5",0.93,2.69,0,"['首选2球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.8,1:2,3,胡巴尔卡德西亚,0,0,2,12.1,2,5.7,1,-1.5,1,-4.6,3,-2.2,3,-4.5,3,-6.7,2,5.9,2,10.6,2,-3.7,1,2.9,3.2,6.4,23.0,7.4,4.6,3.35,4.15,6.6,10.5,14.0,2.6,5.0,1.3,6.25,1.3,4.95,6.25,1.0,3.65,0,1,1.98,2.85,迈季迈阿宽广,2026-05-10,2039620,,23.0,9.0,8.0,10.0,22.0,10.5,6.75,9.25,45.0,19.0,14.0,16.5,120.0,50.0,35.0,45.0,,,,2.62,1.2,3.2,中,大球,"1,2",,,,,,,,,"3,4,5",1.58,1.49,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.0,2:1,3,达马克,0,0,1,6.7,1,1.3,1,-2.9,1,-2.2,0,0,0,0,0,0,1,-2.2,2,3.8,2,-14.3,1,-1.9,2.0,4.0,18.0,6.4,3.95,3.3,4.4,7.4,14.0,19.0,2.0,4.5,6.0,6.0,1.35,4.65,1.35,0,3.43,0,0,2.7,2.14,吉达联合,2026-05-11,2039647,,18.0,19.0,45.0,100.0,7.25,9.25,19.0,60.0,6.5,6.75,17.0,55.0,9.0,9.5,20.0,50.0,,,,0.53,1.35,2.0,弱(高球不动降权),大球,"0,2",,,,,,,,,"0,2,3",0.84,0.68,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.8,2:1,3,利雅得青年,1,-10.0,2,-7.1,0,0,3,-4.4,2,6.8,1,3.6,4,4.0,3,18.4,3,-7.7,3,5.6,2,-1.4,2,-11.4,3.5999999999999996,7.199999999999999,18.0,5.9,4.0,3.25,4.7,7.25,13.0,22.5,3.4,3.34,2.9,3.34,2.06,1.2799999999999998,2.06,0,3.75,0,0,1.6,4.2,新未来SC,2026-05-12,2039654,,18.0,13.0,19.0,35.0,10.0,7.25,9.5,20.0,12.5,7.0,9.5,21.0,20.0,13.0,17.0,35.0,,,,1.15,3.15,3.6,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,6",1.75,1.67,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.6,1:2,3,吉达国民,2,-20.0,2,-10.2,2,-6.1,1,-2.9,3,6.7,3,13.5,3,20.0,3,25.0,2,2.1,4,12.0,4,-5.8,0,0,3.1,6.2,16.0,5.7,3.85,3.3,4.75,8.0,15.0,20.0,3.6,3.9,1.62,3.92,1.62,2.3,3.92,1.0,3.35,0,1,3.08,1.98,布赖代合作,2026-05-12,2039656,,16.0,8.75,11.0,17.0,13.0,7.5,6.75,11.0,22.0,11.0,11.0,19.0,50.0,26.0,26.0,38.0,,,,2.09,0.8,3.1,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",2.26,1.51,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.2,1:1,2,利雅得新月,1,-23.1,2,-3.8,2,-4.4,3,-4.4,3,-2.4,3,14.8,2,14.3,2,25.9,5,-12.2,5,7.1,3,1.4,2,-7.9,3.8000000000000003,7.6000000000000005,20.0,7.5,4.3,3.25,4.1,7.0,12.0,17.0,4.4,3.25,2.86,3.25,2.12,1.13,2.12,0,4.1,0,0,1.54,4.25,利雅得胜利,2026-05-13,2039696,,20.0,14.0,18.0,35.0,12.0,7.25,9.0,20.0,14.0,7.5,10.0,20.0,22.0,15.0,17.0,28.0,,,,2.16,0.9,3.8,中,大球,"1,2",,,,,,,,,"3,4,5",3.06,1.46,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
1.2,1:3,4,吉达联合,0,0,3,7.7,2,4.8,1,-5.9,2,-9.1,3,0.7,3,16.0,2,9.7,5,-10.8,6,-8.5,6,12.2,1,-5.6,2.1,4.2,20.0,7.0,4.35,3.2,4.0,7.05,14.5,17.0,3.0,3.3,2.02,3.3,2.02,1.2799999999999998,3.02,1.0,3.85,0,1,4.15,1.59,达曼协定,2026-05-15,2039713,,20.0,10.5,12.0,18.0,12.5,8.0,7.0,12.5,19.0,9.75,10.0,17.0,42.0,21.0,22.0,33.0,,,,0.98,0.45,2.1,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",2.3,0.71,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
2.8,2:0,2,拉斯决心,0,0,2,9.9,3,7.5,2,-2.7,3,-9.8,2,4.5,1,2.9,0,0,1,-2.2,1,0.9,1,-7.8,1,-3.8,3.0999999999999996,6.199999999999999,30.0,10.0,5.75,3.65,3.7,5.75,8.75,8.75,3.4,6.6,11.75,11.75,1.12,10.629999999999999,1.12,0,3.7,0,0,2.3,2.36,胡巴尔卡德西亚,2026-05-15,2039714,,30.0,38.0,90.0,300.0,10.5,13.0,32.0,80.0,7.25,8.25,21.0,60.0,7.5,8.25,21.0,65.0,,,,1.33,1.65,3.1,强,大球,"1,2",,,,,,,,,"3,4,5",2.5,0.96,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.0,3:0,3,迈季迈阿宽广,1,-8.3,2,-11.5,2,-5.7,3,-7.2,3,9.3,4,35.9,4,38.9,4,59.3,5,-11.6,4,3.6,4,7.3,6,-16.7,2.5,5.0,11.0,4.25,3.3,3.2,5.9,12.5,25.0,43.0,2.0,3.05,4.4,4.4,1.74,2.66,1.74,0,3.3,0,0,1.82,3.62,达马克,2026-05-16,2039742,,11.0,10.5,22.0,65.0,6.75,5.7,11.0,36.0,8.2,7.0,14.0,37.0,15.0,15.0,23.0,65.0,,,,1.56,1.69,2.5,弱,小球,"0,1",,,,,,,,,"0,1,2",0.72,1.38,0,"['首选0球(变0%,n=1)', '双选0球+1球']",0,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
3.8,1:1,2,利雅得,3,11.1,5,20.7,5,7.7,3,-2.9,5,-11.5,3,-6.7,3,-7.7,3,-5.6,3,1.2,3,-1.4,3,3.1,1,4.5,3.5999999999999996,7.199999999999999,20.0,7.0,4.2,3.3,4.25,7.0,12.0,17.0,3.4,4.1,5.0,5.0,1.46,3.54,1.46,0,3.1,0,0,2.34,2.64,布赖代合作,2026-05-16,2039743,,20.0,20.0,30.0,65.0,8.75,8.75,14.0,40.0,7.75,6.5,13.0,35.0,11.5,9.8,16.0,45.0,,,,1.29,2.26,3.6,中(盘口矛盾),大球,"3,5",,,,,,,,,"3,5,6",1.91,1.61,0,"['首选3球(变0%,n=3)', '双选3球+5球']",3,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
1.6,3:0,3,拉斯永恒,2,-25.8,2,-13.1,2,-5.3,0,0,1,1.2,2,10.2,2,12.4,2,11.1,0,0,0,0,0,0,0,0,2.1,4.2,23.0,7.3,4.5,3.75,4.25,6.5,10.0,10.5,2.6,6.1,10.5,10.5,1.15,9.35,1.15,0,3.98,0,0,2.0,2.65,吉达国民,2026-05-17,2039777,,23.0,27.0,60.0,150.0,9.5,12.0,28.0,80.0,7.0,8.0,19.0,65.0,8.5,8.0,19.0,55.0,,,,0.63,0.75,2.1,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",2.07,0.84,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,沙特职业联赛,联赛,其他联赛,亚洲,亚洲联赛,沙特职业联赛
