a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,3:1,4,图卢兹,3,23.8,4,22.4,4,13.3,2,-5.6,3,-12.5,1,-3.6,1,-4.5,1,-7.7,0,0,0,0,0,0,2,13.5,3.3,6.6,26.0,8.2,4.7,3.4,3.85,6.75,10.5,12.0,3.8,6.15,11.25,11.25,1.14,10.11,1.14,0,3.8,0,0,2.1,2.57,巴黎圣日尔曼,,2038791,,26.0,32.0,80.0,250.0,8.5,11.0,30.0,100.0,6.5,7.5,20.0,70.0,7.25,8.25,23.0,75.0,,,,1.4,1.4,3.3,强,大球,"1,2",,,,,,,,,"3,4,5",2.8,1.0,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
3.6,3:0,3,朗斯,0,0,2,-3.8,1,2.8,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,13.0,5.0,3.65,3.45,5.0,9.0,16.0,25.0,2.2,3.18,2.17,3.18,2.17,1.0100000000000002,2.82,1.0,3.93,0,1,4.7,1.51,里尔,,2038833,,13.0,8.5,12.0,23.0,9.5,6.2,7.5,16.0,14.0,8.5,11.0,22.0,30.0,20.0,26.0,50.0,,,,2.4,1.2,2.9,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.0,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
1.8,0:0,0,里昂,3,50.0,4,29.3,2,4.8,2,-4.1,3,-16.2,3,-26.7,3,-31.8,3,-32.4,0,0,0,0,0,0,4,15.0,2.1,4.2,13.5,5.3,3.3,3.55,5.45,8.8,15.0,23.0,2.4,3.8,1.46,5.5,1.46,4.04,5.5,1.0,3.15,0,1,2.65,2.3,昂热,,2038848,,13.5,6.5,7.25,11.5,13.5,6.75,7.0,12.0,27.0,13.0,14.0,23.0,75.0,45.0,45.0,60.0,,,,0.6,1.2,2.1,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",0.4,2.0,0,"['首选0球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.0,1:1,2,巴黎FC,0,0,2,7.0,2,-3.1,0,0,0,0,1,-4.2,2,0,2,-6.7,0,0,0,0,0,0,1,-5.0,2.0,4.0,9.5,4.6,3.15,3.6,6.0,11.5,21.0,28.0,2.0,3.0,3.15,3.15,2.09,1.06,2.09,0,3.58,0,0,1.55,4.9,洛里昂,,2038853,,9.5,8.5,15.0,35.0,7.0,5.65,9.5,26.0,9.5,7.5,13.0,38.0,20.0,16.0,27.0,75.0,,,,1.2,0.8,2.0,弱,大球,"0,1",,,,,,,,,"0,1,2",1.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.8,2:1,3,马赛,0,0,0,0,0,0,2,-5.7,2,-8.0,2,8.6,2,18.2,2,21.4,0,0,0,0,0,0,0,0,2.9,5.8,20.0,6.75,4.2,3.3,4.05,7.6,13.0,17.0,3.0,3.65,3.07,3.65,1.89,1.76,1.89,0,3.8,0,0,1.68,3.69,摩纳哥,,2038860,,20.0,13.0,19.0,40.0,11.0,7.25,9.5,21.0,12.0,7.25,10.0,22.0,19.0,12.5,16.0,35.0,,,,1.6,1.2,2.9,中(防守矛盾⚠️),大球,"2,3",,,,,,,,,"3,4,5",2.2,0.8,0,"['首选2球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.8,4:1,5,摩纳哥,0,0,4,11.1,3,9.3,2,-4.4,4,-13.5,0,0,1,7.1,0,0,0,0,0,0,0,0,0,0,2.4,4.8,16.0,6.5,4.1,3.25,4.15,7.75,15.0,20.0,2.0,3.75,1.68,3.75,1.68,2.0700000000000003,3.75,1.0,3.35,0,1,3.32,1.89,巴黎FC,,2038970,,16.0,8.5,9.8,16.0,13.5,6.75,7.0,12.5,22.0,10.0,11.0,19.0,50.0,25.0,26.0,45.0,,,,2.2,0.6,2.4,近小球+0球过高→大球,大球,"0,1",,,,,,,,,"3,4,5",1.2,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.2,3:1,4,梅斯,2,20.0,4,20.0,4,14.6,4,-12.7,4,-15.1,2,10.5,2,10.0,0,0,0,0,0,0,0,0,1,5.0,2.3,4.6,30.0,9.0,5.1,3.1,3.65,6.85,11.0,12.5,2.4,6.35,10.5,10.5,1.14,9.36,1.14,0,3.8,0,0,2.15,2.5,马赛,,2038981,,30.0,36.0,80.0,300.0,9.5,11.0,23.0,110.0,7.0,7.0,19.0,75.0,7.5,8.8,21.0,75.0,,,,0.6,1.6,2.3,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.2,2:1,3,昂热,1,6.7,1,3.6,2,6.7,2,-5.8,2,-7.3,0,0,1,7.1,1,4.8,0,0,0,0,0,0,1,6.7,2.6,5.2,16.0,5.8,4.0,3.25,4.45,8.0,15.0,22.0,3.0,5.15,9.15,9.15,1.21,7.94,1.21,0,3.6,0,0,3.45,1.78,雷恩,,2039029,,16.0,21.0,50.0,200.0,6.9,9.0,21.0,90.0,5.9,7.0,19.0,75.0,7.5,9.5,25.0,90.0,,,,0.4,1.8,2.6,强,大球,"0,1",,,,,,,,,"3,4,5",2.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.4,0:4,4,里尔,0,0,1,4.9,2,3.1,1,-2.8,1,-1.6,2,-3.8,1,-8.7,1,-11.4,0,0,0,0,0,0,0,0,2.9,5.8,9.0,4.3,3.3,3.5,6.15,12.5,21.0,31.0,3.4,3.15,1.95,3.35,1.95,1.4000000000000001,3.35,1.0,3.35,0,1,4.45,1.65,图卢兹,,2039052,,9.0,7.0,10.0,22.0,8.5,5.5,7.5,18.0,14.0,9.25,13.5,28.0,32.0,26.0,35.0,75.0,,,,1.4,1.0,2.9,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
3.4,3:2,5,图卢兹,0,0,3,10.1,3,6.7,2,-5.8,4,-11.3,2,7.5,1,3.3,0,0,0,0,0,0,0,0,2,15.4,3.5999999999999996,7.199999999999999,15.0,6.0,4.0,3.25,4.3,8.6,15.5,20.0,3.8,4.55,6.6,6.6,1.32,5.279999999999999,1.32,0,3.52,0,0,2.75,2.08,朗斯,,2039143,,15.0,17.0,34.0,100.0,7.0,7.8,15.0,50.0,7.0,6.75,15.0,45.0,10.0,10.5,21.0,60.0,,,,1.2,2.2,3.6,强,大球,"0,1",,,,,,,,,"3,4,5",2.2,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.4,2:0,2,马赛,3,53.3,4,38.4,4,13.2,4,4.3,4,-13.5,4,-18.8,4,-28.6,4,-35.0,0,0,0,0,0,0,4,13.3,2.2,4.4,23.0,7.75,4.3,3.6,4.15,6.5,10.0,13.0,2.0,4.05,1.5,4.65,1.5,3.1500000000000004,4.65,1.0,3.35,0,1,2.63,2.22,洛里昂,,2039170,,23.0,10.0,9.25,13.0,20.0,7.75,6.75,10.5,31.0,14.0,12.0,16.0,65.0,32.0,31.0,35.0,,,,1.4,1.0,2.2,近小球+0球过高→大球,大球,"2,3",,,,,,,,,"3,4,5",1.2,0.8,0,"['首选2球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
3.4,0:3,3,雷恩,0,0,1,4.5,0,0,0,0,1,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,6.8,15.0,5.85,3.75,3.4,4.7,8.25,14.0,20.0,3.4,3.4,2.2,3.4,2.2,1.1999999999999997,2.63,0,4.6,0,0,1.37,5.5,斯特拉斯堡,,2039196,,15.0,10.0,13.0,26.0,10.5,6.5,7.75,16.0,14.0,8.5,10.0,20.0,29.0,18.0,23.0,40.0,,,,2.2,1.2,3.4,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",2.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
1.4,1:2,3,里昂,1,8.3,2,6.7,2,3.3,1,-4.2,2,-8.1,1,1.6,1,5.0,1,9.1,0,0,0,0,0,0,1,5.6,2.2,4.4,26.0,8.0,4.65,3.45,3.95,6.5,10.5,12.0,3.0,5.65,8.9,8.9,1.19,7.710000000000001,1.19,0,4.0,0,0,3.61,1.66,巴黎圣日尔曼,,2039204,,26.0,29.0,65.0,200.0,9.0,11.0,26.0,75.0,7.25,7.25,16.0,50.0,8.0,8.75,19.0,60.0,,,,0.2,1.2,2.2,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",2.8,0.2,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
1.6,3:0,3,南特,1,6.7,1,7.4,1,6.1,0,0,1,-4.8,1,-1.7,1,-2.4,1,-2.8,0,0,0,0,0,0,0,0,2.3,4.6,32.0,9.4,5.2,3.75,4.0,5.8,8.3,8.75,3.0,99.0,99.0,99.0,99.0,0.0,99.0,0,3.9,0,0,2.68,2.0,巴黎圣日尔曼,,2039254,,32.0,40.0,120.0,450.0,10.0,14.0,35.0,150.0,6.75,8.5,27.0,100.0,6.5,8.75,27.0,90.0,,,,0.6,1.0,2.3,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",2.4,0.6,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
4.4,3:3,6,朗斯,0,0,1,4.3,0,0,2,-4.3,2,-7.4,2,6.7,1,7.7,2,19.4,0,0,0,0,0,0,3,14.4,3.8000000000000003,7.6000000000000005,17.0,6.0,3.95,3.3,4.35,8.0,14.0,21.5,3.2,4.25,1.39,5.75,1.39,4.36,5.75,1.0,3.15,0,1,2.45,2.48,布雷斯特,,2039299,,17.0,7.75,7.5,11.0,15.0,7.5,6.5,10.0,30.0,14.0,14.0,18.0,75.0,45.0,40.0,60.0,,,,2.6,1.8,3.8,强,大球,"0,2",,,,,,,,,"3,4,5",1.2,2.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
2.8,0:3,3,巴黎圣日尔曼,0,0,1,4.5,1,2.4,1,-2.9,1,-3.4,0,0,0,0,1,7.1,0,0,0,0,0,0,0,0,2.7,5.4,21.0,7.0,4.35,3.4,4.25,7.0,10.5,15.0,2.6,6.25,1.15,10.0,1.15,8.85,10.0,2.0,4.0,0,1,2.64,2.0,昂热,,2039332,,21.0,8.0,6.4,7.25,26.0,10.5,7.0,9.0,75.0,27.0,20.0,23.0,300.0,100.0,80.0,90.0,,,,2.2,0.6,2.7,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",0.6,2.0,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
3.0,2:3,5,斯特拉斯堡,0,0,1,5.6,1,2.7,1,2.9,1,-4.2,1,-5.9,1,-6.7,1,-8.7,0,0,0,0,0,0,2,0,2.5,5.0,14.0,5.7,3.85,3.5,4.6,8.0,14.0,21.0,2.0,3.5,3.08,3.5,1.93,1.57,1.93,0,3.75,0,0,1.66,3.85,洛里昂,,2039347,,14.0,11.0,17.0,39.0,8.5,6.4,9.25,22.0,11.0,7.25,11.0,27.0,19.0,13.5,20.0,45.0,,,,1.4,1.6,2.5,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,法国甲级联赛,联赛,顶级联赛,欧洲,五大联赛,法国甲级联赛
