a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.0,3:2,5,纽卡斯尔喷气机,2,0,3,2.8,3,2.0,3,-2.7,0,0,4,0,5,0,4,0,0,0,0,0,0,0,2,1.3,2.7,5.4,28.0,9.25,5.1,3.65,4.2,5.55,8.75,9.25,3.4,3.88,2.66,3.88,2.02,1.8599999999999999,2.02,0,4.15,0,0,1.59,3.85,麦克阿瑟FC,,2038744,,28.0,17.0,19.0,30.0,16.0,9.0,9.0,16.5,18.0,8.75,9.5,16.0,28.0,15.0,15.0,23.0,,,,1.2,0.8,2.7,弱(高球不动降权),大球,"2,3",,,,,,,,,"2,3,4",0.8,2.6,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.0,0:0,0,悉尼FC,0,0,3,5.2,4,3.9,5,2.9,4,-8.5,3,4.7,1,-7.1,3,-11.1,0,0,0,0,0,0,0,0,2.2,4.4,16.0,6.1,4.0,3.6,4.3,7.8,13.0,16.0,2.4,3.45,2.25,3.45,2.25,1.2000000000000002,2.53,1.0,4.2,0,1,4.55,1.49,布里斯班狮吼,,2038745,,16.0,10.5,13.0,26.0,11.0,6.75,8.5,17.0,15.0,9.25,10.0,20.0,32.0,18.0,21.0,40.0,,,,1.0,1.0,2.2,近小球+0球过高→大球,大球,"0,1",,,,,,,,,"4,5,7",1.0,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
3.6,1:1,2,奥克兰FC,3,5.6,4,12.0,4,4.9,3,5.6,1,-4.3,2,-2.9,4,-15.2,4,-20.0,0,0,0,0,0,0,1,12.5,3.4000000000000004,6.800000000000001,19.0,7.0,4.25,3.75,4.5,6.8,9.75,12.0,3.2,3.6,2.34,3.6,2.34,1.2600000000000002,2.36,1.0,4.2,0,1,4.85,1.46,阿德莱德联,,2038782,,19.0,12.5,15.0,28.0,13.0,7.2,8.25,17.5,16.0,9.0,9.75,18.0,30.0,19.0,19.0,23.0,,,,2.6,1.0,3.4,中,大球,"1,2",,,,,,,,,"3,4,6",2.2,1.0,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.8,2:2,4,珀斯光荣,2,28.6,5,17.1,4,6.8,2,4.3,4,-12.2,3,-12.7,3,-13.8,4,-23.8,0,0,0,0,0,0,0,0,3.0,6.0,18.0,6.5,3.95,3.6,4.3,7.2,12.5,16.0,3.2,3.45,2.5,3.45,2.28,1.1700000000000004,2.28,0,4.08,0,0,1.47,4.9,中央海岸水手,,2038807,,18.0,10.5,15.0,29.0,10.0,6.5,8.25,17.5,14.5,8.0,10.0,21.0,23.0,16.5,20.0,35.0,,,,0.8,2.0,3.0,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.6,1.6,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
4.4,3:0,3,西悉尼漫步者,2,13.3,2,6.9,3,10.5,2,1.4,3,-4.2,3,-8.4,4,-14.8,3,-21.1,0,0,0,0,0,0,3,0.8,3.0,6.0,17.0,6.2,4.2,3.55,4.55,7.1,11.5,15.0,1.6,3.7,3.47,3.7,1.75,1.9500000000000002,1.75,0,3.52,0,0,1.82,3.4,墨尔本城,,2038810,,17.0,13.0,22.0,50.0,8.5,8.0,10.5,28.0,10.0,7.15,11.0,28.0,16.0,12.0,17.5,35.0,,,,2.2,2.2,3.0,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",0.6,1.0,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.6,0:1,1,惠灵顿凤凰,1,14.3,5,17.2,5,18.8,5,14.3,2,-4.5,6,-17.0,6,-23.8,5,-26.9,0,0,0,0,0,0,0,0,3.3,6.6,24.0,8.5,5.05,4.0,4.2,5.6,8.0,9.5,4.0,4.7,5.2,5.2,1.38,3.8200000000000003,1.38,0,3.75,0,0,2.53,2.14,墨尔本胜利,,2038836,,24.0,25.0,45.0,100.0,10.0,9.5,18.0,50.0,8.5,7.5,12.5,35.0,11.0,9.25,15.0,35.0,,,,1.0,1.6,3.3,强,大球,4,,,,,,,,,"4,5",2.4,1.6,0,"['首选4球(变0%,n=2)']",4,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
3.0,2:1,3,中央海岸水手,4,5.0,4,12.3,3,4.9,3,5.7,4,2.2,4,-5.8,5,-17.4,6,-26.7,0,0,0,0,0,0,5,-2.5,2.3,4.6,21.0,7.3,4.3,3.7,4.6,6.5,9.5,11.0,1.6,4.8,5.4,5.4,1.36,4.04,1.36,0,3.72,0,0,2.6,2.1,墨尔本城,,2038913,,21.0,24.0,45.0,90.0,9.0,9.25,18.0,45.0,8.0,7.75,13.0,40.0,10.0,9.5,17.0,35.0,,,,1.4,1.6,2.3,近小球+0球过高→大球,大球,"1,2",,,,,,,,,"3,4,5",1.2,0.4,0,"['首选1球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.0,2:2,4,布里斯班狮吼,2,14.3,2,7.1,2,5.3,1,4.3,2,-6.1,3,-9.4,2,-13.8,2,-15.0,0,0,0,0,0,0,2,7.8,2.8,5.6,16.0,6.0,3.95,3.6,4.6,7.25,12.5,17.0,3.6,3.6,2.08,3.6,2.08,1.52,2.7,1.0,3.9,0,1,4.25,1.57,中央海岸水手,,2038967,,16.0,9.75,12.5,22.0,11.0,7.0,8.0,15.0,17.0,9.0,10.0,20.0,32.0,18.0,23.0,37.0,,,,0.8,1.2,2.8,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.6,2.0,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
2.8,1:1,2,阿德莱德联,2,-3.0,2,10.0,1,5.6,2,3.9,0,0,2,-3.8,2,-6.2,2,-9.1,0,0,0,0,0,0,1,3.1,2.8,5.6,32.0,11.0,5.7,4.0,4.1,5.1,7.5,7.5,2.8,3.85,2.67,3.85,2.02,1.83,2.02,0,4.1,0,0,1.59,3.9,纽卡斯尔喷气机,,2039005,,32.0,21.0,24.0,38.0,16.5,9.5,11.5,19.0,16.5,8.25,9.25,16.0,22.0,12.5,12.0,22.0,,,,1.6,1.2,2.8,中,大球,"1,2",,,,,,,,,"3,4,5",1.4,1.4,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
1.8,0:2,2,悉尼FC,3,0,6,2.2,6,2.4,4,11.4,4,4.4,3,-5.2,3,-18.2,3,-21.4,0,0,0,0,0,0,1,2.3,2.9,5.8,20.0,6.9,4.3,3.9,4.7,6.4,9.0,11.0,4.0,3.6,2.3,3.6,2.3,1.3000000000000003,2.4,0,4.3,0,0,1.42,5.2,西悉尼漫步者,,2039007,,20.0,12.0,14.5,26.0,13.0,7.75,8.1,15.0,16.0,8.5,10.0,17.0,30.0,18.0,18.0,30.0,,,,0.8,1.0,2.9,强(防守一致),大球,"3,4",,,,,,,,,"3,4,5",1.8,2.2,0,"['首选3球(变0%,n=4)', '双选3球+4球']",3,澳大利亚超级联赛,联赛,其他联赛,亚洲,亚洲联赛,澳大利亚超级联赛
