a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.4,3:0,3,米亚尔比,1,8.3,3,12.8,3,7.4,2,-1.4,2,-9.1,2,-5.3,3,-16.7,3,-20.0,0,0,0,0,0,0,0,0,3.7,7.4,13.0,5.3,3.65,3.5,5.0,9.0,15.0,20.0,4.0,3.35,3.45,3.45,1.85,1.6,1.85,0,3.55,0,0,1.73,3.72,哈马比,,2038816,,13.0,11.0,20.0,50.0,7.5,6.25,9.5,28.0,9.0,7.0,12.5,30.0,17.0,13.5,23.0,45.0,,,,2.8,0.6,3.7,强(防守强化),大球,"0,1",,,,,,,,,"3,4,6",3.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
2.8,1:1,2,马尔默,0,0,1,3.6,2,5.5,2,1.4,1,-3.1,1,-3.0,1,-7.4,1,-14.3,0,0,0,0,0,0,2,8.8,2.7,5.4,15.0,5.75,3.85,3.55,4.75,8.0,12.5,18.0,2.6,4.15,1.42,5.45,1.42,4.03,5.45,1.0,3.28,0,1,2.45,2.4,厄尔格里特,,2038851,,15.0,7.5,8.0,10.5,15.0,7.2,6.75,10.5,30.0,14.0,13.0,20.0,80.0,50.0,40.0,60.0,,,,1.6,1.2,2.7,强,大球,"0,2",,,,,,,,,"3,4,5",1.2,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.8,2:0,2,IFK哥德堡,2,-21.4,2,-13.2,3,-5.6,2,2.9,2,10.9,2,17.6,3,20.0,3,21.7,0,0,0,0,0,0,0,0,3.4,6.8,11.0,4.6,3.35,3.6,5.6,10.0,18.0,28.0,3.0,3.35,2.73,3.35,2.15,1.2000000000000002,2.15,0,3.9,0,0,1.53,4.55,埃尔夫斯堡,,2038866,,11.0,10.0,14.5,35.0,8.0,6.3,9.0,22.0,11.5,7.5,12.0,23.0,23.0,16.0,20.0,50.0,,,,2.8,1.0,3.4,弱,大球,"0,1",,,,,,,,,"0,1,2",2.2,0.8,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
4.2,0:2,2,赫根,0,0,2,6.6,1,4.2,2,1.4,1,-3.0,1,-5.9,1,-10.0,1,-13.6,0,0,0,0,0,0,0,0,3.6,7.2,14.0,5.65,3.75,3.55,4.85,8.0,13.5,19.0,3.0,3.23,2.23,3.23,2.23,1.0,2.7,0,4.5,0,0,1.35,6.0,IFK哥德堡,,2039014,,14.0,9.5,12.5,25.0,10.5,6.2,7.5,17.0,13.5,8.0,11.0,20.0,26.0,18.0,22.0,45.0,,,,2.4,1.8,3.6,弱,模糊,"0,1",,,,,,,,,"0,1,2",1.6,1.4,0,"['首选0球(变0%,n=0)', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.2,3:2,5,卡尔马,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,12.0,4.8,3.45,3.55,5.35,9.0,18.0,27.0,2.6,3.7,5.0,5.0,1.52,3.48,1.52,0,3.3,0,0,2.15,2.77,佐加顿斯,,2039041,,12.0,13.0,30.0,90.0,6.2,7.0,14.0,50.0,6.8,6.7,16.0,50.0,10.5,11.0,24.0,90.0,,,,2.0,1.2,2.9,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.8,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
2.8,3:1,4,哥德堡盖斯,1,8.3,2,8.3,2,5.9,0,0,1,-3.7,2,-5.3,2,-17.6,2,-25.9,0,0,0,0,0,0,3,12.1,2.5999999999999996,5.199999999999999,13.0,5.2,3.6,3.55,5.2,9.0,14.0,20.0,2.4,3.75,4.5,4.5,1.56,2.94,1.56,0,3.25,0,0,2.1,2.9,马尔默,,2039049,,13.0,12.5,23.0,55.0,7.25,6.25,12.0,35.0,8.0,6.75,13.0,35.0,14.0,12.5,22.0,55.0,,,,1.4,1.4,2.6,弱,大球,"0,2",,,,,,,,,"0,2,3",1.0,1.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.2,2:0,2,哈马比,1,6.7,2,5.2,2,6.7,3,-8.6,3,-7.3,1,2.5,1,7.7,1,10.5,0,0,0,0,0,0,0,0,2.7,5.4,16.0,6.1,4.0,3.2,4.45,8.2,14.0,21.0,2.2,3.4,2.0,3.4,2.0,1.4,3.0,1.0,3.85,0,1,4.02,1.61,天狼星,,2039062,,16.0,9.25,11.0,19.0,11.0,7.25,6.75,13.5,16.0,9.5,11.0,19.0,35.0,22.0,24.0,43.0,,,,2.2,1.0,2.7,中,大球,"0,2",,,,,,,,,"3,4,5",1.4,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.8,2:2,4,AIK索尔纳,1,3.7,3,-2.9,0,0,2,-2.9,1,-2.0,1,2.9,2,18.8,1,8.7,0,0,0,0,0,0,1,1.8,3.5,7.0,14.0,5.05,3.55,3.4,4.9,9.0,19.0,25.0,3.2,3.6,1.67,3.95,1.67,2.2800000000000002,3.95,1.0,3.25,0,1,3.3,1.93,布鲁马波卡纳,,2039063,,14.0,7.25,8.75,15.0,13.0,6.8,7.0,11.0,22.0,11.0,12.0,20.0,55.0,30.0,32.0,55.0,,,,2.8,1.0,3.5,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.2,2.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
2.6,0:1,1,马尔默,0,0,4,0,2,2.9,2,2.9,3,1.0,4,-2.7,3,-11.1,3,-18.5,0,0,0,0,0,0,1,-3.6,2.9000000000000004,5.800000000000001,13.0,4.9,3.6,3.5,5.25,9.0,16.0,22.0,3.2,3.25,2.62,3.25,2.27,0.98,2.27,0,3.95,0,0,1.48,5.0,佐加顿斯,,2039138,,13.0,8.5,12.0,27.0,8.25,6.25,8.0,19.0,11.5,7.5,12.0,25.0,25.0,18.0,24.0,60.0,,,,1.2,1.4,2.9,弱,大球,"0,1",,,,,,,,,"0,1,2",2.0,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
3.2,4:1,5,韦斯特罗斯,1,8.0,1,6.0,1,1.4,1,1.4,1,-2.9,1,-5.3,1,-11.8,1,-16.0,0,0,0,0,0,0,0,0,2.6,5.2,13.5,5.3,3.5,3.55,5.05,9.0,15.0,21.0,2.0,3.9,5.6,5.6,1.44,4.16,1.44,0,3.35,0,0,2.35,2.47,天狼星,,2039162,,13.5,16.0,35.0,90.0,6.7,7.5,15.0,50.0,6.8,6.5,15.0,50.0,10.5,10.5,23.0,70.0,,,,2.2,1.0,2.6,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,瑞典超级联赛,联赛,其他联赛,欧洲,北欧联赛,瑞典超级联赛
