a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
4.0,3:0,3,圣迭戈FC,1,11.1,1,8.0,1,2.6,0,0,0,0,1,-6.9,1,-8.0,1,-11.1,0,0,0,0,0,0,0,0,2.8,5.6,20.0,6.75,4.0,3.45,4.6,6.7,11.5,16.0,1.6,3.5,2.77,3.5,2.07,1.4300000000000002,2.07,0,3.95,0,0,1.56,4.25,圣何塞地震,,2038835,,20.0,13.5,17.0,30.0,11.5,6.75,8.5,18.0,13.5,7.0,11.0,21.0,21.0,14.0,17.0,33.0,,,,1.8,2.2,2.8,中(防守矛盾⚠️),大球,"2,3",,,,,,,,,"3,4,5",1.4,0.2,0,"['首选2球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
1.8,1:2,3,纳什维尔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.2,13.0,5.0,3.55,3.4,5.2,8.75,18.0,25.0,3.4,3.25,2.56,3.25,2.32,0.9300000000000002,2.32,0,4.0,0,0,1.46,5.15,夏洛特FC,,2039031,,13.0,9.0,13.0,27.0,8.5,6.25,8.0,19.0,12.0,7.5,11.0,25.0,24.0,17.0,24.0,60.0,,,,1.4,0.4,2.6,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",2.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
5.0,1:1,2,奥兰多城,1,15.4,2,15.4,2,9.9,2,4.3,2,-6.8,2,-3.3,1,-12.5,1,-17.4,0,0,0,0,0,0,1,10.3,3.7,7.4,30.0,9.0,5.0,3.65,4.1,5.8,8.75,9.5,2.4,5.0,6.25,6.25,1.3,4.95,1.3,0,3.8,0,0,2.9,1.92,哥伦布机员,,2039061,,30.0,25.0,50.0,100.0,10.0,10.0,16.0,50.0,8.75,7.5,12.0,38.0,11.0,9.5,15.0,45.0,,,,0.8,4.2,3.7,强,大球,"1,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
3.8,3:0,3,堪萨斯城竞技,1,-9.1,1,-8.0,1,-3.1,0,0,0,0,1,4.2,1,1.4,1,1.7,0,0,0,0,0,0,0,0,3.5999999999999996,7.199999999999999,50.0,11.5,6.3,4.1,4.2,5.0,7.0,6.1,3.4,99.0,99.0,99.0,99.0,0.0,99.0,0,4.1,0,0,3.1,1.78,温哥华白帽,,2039146,,50.0,50.0,100.0,350.0,14.0,17.0,40.0,100.0,8.25,9.0,26.0,80.0,7.5,9.0,22.0,70.0,,,,1.0,2.8,3.6,中(防守矛盾⚠️),大球,"1,2",,,,,,,,,"3,4,5",2.4,1.0,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
3.8,1:2,3,夏洛特FC,1,-6.2,1,-7.7,1,-3.9,0,0,1,9.4,1,6.5,1,7.4,0,0,0,0,0,0,0,0,1,-3.1,3.9,7.8,15.0,5.4,3.65,3.4,5.25,8.25,14.5,19.0,4.0,3.7,4.07,4.07,1.63,2.4400000000000004,1.63,0,3.6,0,0,1.96,2.93,纽约城,,2039178,,15.0,14.0,26.0,70.0,7.65,7.0,12.0,34.0,8.0,7.0,13.0,35.0,12.0,12.0,20.0,50.0,,,,3.0,0.8,3.9,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",2.2,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
2.2,1:4,5,圣何塞地震,0,0,1,-6.9,0,0,1,1.4,0,0,1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.0,22.0,6.75,4.2,3.5,4.4,6.8,11.0,14.0,2.8,4.1,4.4,4.4,1.52,2.8800000000000003,1.52,0,3.65,0,0,2.15,2.56,洛杉矶FC,,2039206,,22.0,17.0,28.0,70.0,9.0,8.0,12.0,34.0,9.0,7.0,12.5,32.0,12.0,10.5,16.0,50.0,,,,1.8,0.4,2.5,中,大球,"2,3",,,,,,,,,"3,4,5",2.2,0.6,0,"['首选2球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
4.0,0:2,2,迈阿密国际,1,-18.8,1,-10.4,1,-7.0,1,-2.6,1,7.1,1,6.7,1,6.1,1,8.1,0,0,0,0,0,0,0,0,4.2,8.4,26.0,8.2,4.65,3.8,4.5,5.6,8.75,10.0,4.4,3.85,2.75,3.85,1.98,1.87,1.98,0,4.15,0,0,1.62,3.7,皇家盐湖城,,2039265,,26.0,17.5,20.0,32.0,14.0,9.0,9.0,17.0,15.0,7.5,10.0,17.0,23.0,13.0,15.0,23.0,,,,2.2,1.8,4.2,中,大球,"1,2",,,,,,,,,"3,4,5",2.8,1.6,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
4.0,4:2,6,夏洛特FC,1,-6.2,3,-6.1,0,0,2,-1.4,1,-2.1,1,2.7,2,21.4,2,19.0,0,0,0,0,0,0,0,0,2.7,5.4,15.0,5.4,3.7,3.45,4.7,7.7,17.0,25.0,1.4,4.05,5.45,5.45,1.43,4.0200000000000005,1.43,0,3.38,0,0,2.38,2.42,纳什维尔,,2039336,,15.0,16.5,32.0,90.0,7.0,7.25,14.0,50.0,7.0,7.0,14.0,45.0,11.0,10.5,20.0,55.0,,,,2.4,1.6,2.7,强,大球,"0,1",,,,,,,,,"3,4,5",1.0,0.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
3.8,2:1,3,皇家盐湖城,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.6,22.0,7.25,4.1,3.45,4.4,6.5,11.5,14.5,3.8,3.6,2.42,3.6,2.28,1.3200000000000003,2.28,0,4.25,0,0,1.46,4.8,洛杉矶银河,,2039365,,22.0,13.0,15.0,28.0,12.0,7.25,8.25,16.0,14.0,8.0,10.5,18.0,25.0,15.5,17.0,30.0,,,,2.2,1.6,3.8,弱(高球不动降权),大球,"2,3",,,,,,,,,"2,3,4",1.4,2.4,0,"['首选2球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
3.6,0:2,2,华盛顿联,0,0,3,-5.0,1,1.4,1,4.4,1,3.9,0,0,1,-8.6,2,-14.8,2,1.4,2,-1.8,2,3.6,1,1.8,4.1,8.2,13.0,4.75,3.6,3.55,5.3,8.95,16.0,23.0,4.6,3.65,4.35,4.35,1.6,2.7499999999999996,1.6,0,3.4,0,0,2.03,2.92,纽约城,2026-05-04,2039505,,13.0,12.5,26.0,60.0,7.25,6.5,11.5,34.0,8.0,7.0,13.0,38.0,13.5,11.5,21.0,55.0,,,,2.15,1.97,4.1,修正(否决),大球,"0,2",,,,,,,,,"3,4,5",2.42,1.85,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,美国职业大联盟,联赛,其他联赛,美洲,美洲联赛,美国职业大联盟
