a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,0:0,0,瓦萨,2,-11.1,2,-7.7,2,-5.0,3,8.7,2,8.9,1,2.1,1,-8.3,1,-6.1,0,0,0,0,0,0,1,3.9,2.7,5.4,16.0,6.0,3.8,3.75,4.9,7.35,11.0,15.5,2.6,4.85,7.05,7.05,1.28,5.77,1.28,0,3.5,0,0,3.02,1.95,国际图尔库,,2038811,,16.0,20.0,40.0,100.0,7.5,8.3,22.0,75.0,7.25,7.0,15.5,45.0,9.5,9.0,19.0,55.0,,,,1.8,1.0,2.7,强,大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
3.4,1:0,1,赫尔辛基火花,0,0,1,3.9,1,2.2,3,12.7,2,7.1,3,-9.8,3,-15.0,3,-20.8,0,0,0,0,0,0,1,5.6,2.9,5.8,26.0,8.0,4.7,4.0,4.5,5.5,8.5,9.5,2.4,5.15,6.75,6.75,1.27,5.48,1.27,0,3.65,0,0,3.04,1.9,库奥皮奥,,2039008,,26.0,23.0,45.0,90.0,9.5,10.0,17.0,40.0,8.5,6.75,14.0,37.0,10.0,9.25,15.5,40.0,,,,1.6,1.8,2.9,强,大球,"1,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
1.6,1:1,2,库奥皮奥,2,0,2,4.5,2,0,1,2.9,2,-1.1,2,-2.5,1,-6.7,1,-13.6,0,0,0,0,0,0,0,0,2.0,4.0,15.0,5.75,3.8,3.5,4.7,7.8,14.0,19.0,2.4,4.15,1.44,5.15,1.44,3.7100000000000004,5.15,1.0,3.45,0,1,2.42,2.35,雅罗,,2039163,,15.0,7.5,6.75,10.5,14.0,8.75,7.0,10.0,31.0,16.0,15.0,20.0,100.0,46.0,42.0,55.0,,,,1.4,0.2,2.0,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.0,1.4,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
3.2,3:2,5,AC奥卢,1,-6.7,1,-5.1,2,0,2,5.9,1,2.1,2,0,2,-3.7,2,-5.0,0,0,0,0,0,0,2,-8.0,2.4000000000000004,4.800000000000001,14.0,5.6,3.75,3.6,4.9,8.0,13.0,19.0,1.6,3.55,3.3,3.55,1.84,1.7099999999999997,1.84,0,3.65,0,0,1.73,3.6,库奥皮奥,,2039252,,14.0,13.0,22.0,50.0,8.5,6.75,12.0,30.0,9.5,7.0,12.0,30.0,15.5,11.0,19.0,40.0,,,,2.2,1.0,2.4,0球区间铁律,大球,"0,1",,,,,,,,,"3,4,5",1.2,0.4,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
2.8,1:1,2,赫尔辛基火花,1,7.1,3,11.3,3,-2.7,2,-5.8,0,0,0,0,2,6.7,2,-4.5,0,0,0,0,0,0,0,0,2.5,5.0,15.0,5.9,3.55,3.25,5.1,8.2,16.0,21.0,2.2,3.3,2.75,3.3,2.16,1.1399999999999997,2.16,0,4.0,0,0,1.53,4.45,TPS图尔库,,2039290,,15.0,10.0,13.0,28.0,8.5,6.3,8.5,21.0,12.0,7.7,12.0,23.0,22.0,18.0,22.0,45.0,,,,1.4,1.4,2.5,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.6,0.6,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
3.0,1:1,2,赫尔辛基,2,-4.2,4,6.5,3,-3.1,3,0,0,0,2,0,2,0,2,3.2,4,-7.0,6,-14.1,7,28.6,0,0,2.2,4.4,11.5,4.9,3.15,3.5,5.7,10.0,19.0,32.0,1.4,2.93,3.15,3.15,2.13,1.02,2.13,1.0,4.85,0,1,7.7,1.26,国际图尔库,2026-04-30,2039411,,11.5,10.0,13.5,32.0,8.5,6.25,8.25,22.0,10.5,7.5,12.0,30.0,23.0,18.0,22.0,45.0,,,,1.71,0.98,2.2,强(防守一致),小球,"0,1",,,,,,,,,"0,1,2",1.28,0.19,0,"['首选0球(变0%,n=2)', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
2.8,2:0,2,库奥皮奥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.0,2,0,3,1.9,0,0,2.7,5.4,14.0,5.3,3.65,3.45,4.8,8.5,16.0,25.0,2.6,3.2,2.13,3.2,2.13,1.0700000000000003,2.88,1.0,3.75,0,1,4.5,1.56,AC奥卢,2026-05-03,2039466,,14.0,8.75,11.0,22.0,11.0,7.0,7.0,15.0,16.0,8.75,11.0,20.0,35.0,21.0,24.0,40.0,,,,1.72,1.09,2.7,弱(高球不动降权),大球,"0,2",,,,,,,,,"0,2,3",1.24,1.61,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
3.6,1:0,1,拉赫蒂,1,-5.9,2,0.9,1,-1.3,1,-1.5,2,-5.3,2,5.9,2,14.3,2,10.0,1,-1.1,1,1.5,1,-4.2,0,0,2.9000000000000004,5.800000000000001,16.0,5.65,3.85,3.35,4.45,8.05,16.0,22.0,2.2,4.35,5.75,5.75,1.38,4.37,1.38,0,3.35,0,0,2.58,2.26,赫尔辛基,2026-05-05,2039508,,16.0,17.0,31.0,90.0,7.25,8.75,16.0,50.0,7.25,6.25,15.0,45.0,10.0,10.0,20.0,65.0,,,,2.24,1.61,2.9,强,大球,"0,2",,,,,,,,,"3,4,5",1.47,0.69,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
1.6,2:0,2,国际图尔库,1,7.7,3,12.2,2,-5.7,2,-4.3,1,-3.8,1,2.6,1,5.9,1,3.8,4,7.0,4,16.3,4,-8.0,2,0,2.2,4.4,14.0,5.5,3.3,3.3,5.0,9.75,18.0,27.0,2.8,3.8,1.5,5.0,1.5,3.5,5.0,1.0,3.4,0,1,2.64,2.19,赫尔辛基火花,2026-05-06,2039541,,14.0,7.0,8.25,13.0,13.0,7.0,7.0,12.5,25.0,13.0,13.5,22.0,50.0,35.0,35.0,55.0,,,,1.22,0.45,2.2,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",1.29,1.37,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
1.8,1:0,1,赫尔辛基,1,-11.8,4,-20.7,2,-2.6,2,7.2,1,2.1,4,6.7,5,23.1,3,22.2,6,-3.8,6,-1.1,6,2.0,0,0,2.2,4.4,15.0,4.6,3.8,3.7,4.9,8.0,16.0,22.0,2.6,3.8,1.56,4.45,1.56,2.89,4.45,1.0,3.5,0,1,2.72,2.1,TPS图尔库,2026-05-08,2039573,,15.0,7.25,8.0,12.0,12.5,7.5,6.8,11.0,24.0,13.0,13.5,20.0,65.0,39.0,38.0,55.0,,,,1.18,0.55,2.2,强(防守一致),大球,"0,2",,,,,,,,,"3,4,5",1.57,1.15,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
2.8,1:0,1,AC奥卢,4,-18.8,4,-6.9,4,-3.9,1,-2.9,4,6.2,5,10.4,5,15.4,4,21.1,1,1.5,2,9.1,2,-8.7,2,3.5,3.2,6.4,13.0,5.4,3.7,3.35,5.1,8.5,15.0,23.0,3.6,3.4,2.2,3.4,2.2,1.1999999999999997,2.63,0,4.55,0,0,1.36,5.75,坦佩雷山猫,2026-05-08,2039574,,13.0,9.5,12.0,26.0,10.0,6.5,7.8,18.0,13.0,8.0,11.5,23.0,27.0,19.0,24.0,42.0,,,,1.49,1.29,3.2,强(防守强化),大球,"0,1",,,,,,,,,"3,4,7",1.43,2.06,0,"['首选0球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,芬兰超级联赛,联赛,其他联赛,欧洲,北欧联赛,芬兰超级联赛
