a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.4,2:1,3,米尔沃尔,0,0,2,1.8,1,1.4,2,4.4,3,-4.1,1,1.2,1,-7.1,1,-9.5,0,0,0,0,0,0,0,0,2.3,4.6,15.0,5.8,3.75,3.55,4.7,8.1,13.0,19.0,2.2,3.82,3.95,3.95,1.63,2.3200000000000003,1.63,0,3.35,0,0,2.0,3.02,米德尔斯堡,,2038783,,15.0,12.0,24.0,70.0,8.0,7.0,11.0,36.0,8.0,7.0,12.5,32.0,13.0,12.0,22.0,50.0,,,,1.6,0.8,2.3,中,大球,"0,1",,,,,,,,,"3,4,5",1.6,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.0,1:0,1,布莱克本,2,16.7,2,6.1,3,4.8,3,1.4,1,-6.3,3,-23.1,2,-17.4,2,-20.0,0,0,0,0,0,0,3,12.2,1.9,3.8,10.5,4.35,3.25,3.75,6.0,10.0,19.0,28.0,1.8,3.6,4.65,4.65,1.57,3.08,1.57,0,3.12,0,0,2.08,3.05,伯明翰,,2038784,,10.5,12.5,25.0,60.0,6.0,6.0,13.0,37.0,8.0,7.25,14.0,45.0,12.5,12.0,26.0,70.0,,,,0.8,1.2,1.9,弱,大球,"0,1",,,,,,,,,"0,1,2",0.6,1.2,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.6,2:1,3,沃特福德,1,10.0,3,11.1,3,9.2,2,0,3,-13.8,2,-13.6,2,-15.0,2,-16.7,0,0,0,0,0,0,0,0,3.1,6.2,11.0,5.0,3.55,3.6,5.0,9.5,17.0,25.0,3.6,2.94,2.57,2.94,2.5,0.43999999999999995,2.5,1.0,4.25,0,1,5.9,1.38,女王公园巡游者,,2038785,,11.0,8.25,12.5,29.0,8.0,5.75,8.25,20.0,11.5,8.2,11.5,28.0,28.0,19.0,27.0,55.0,,,,1.4,1.2,3.1,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",1.8,1.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.8,1:1,2,朴次茅斯,2,20.0,2,13.1,2,4.8,1,2.8,3,-13.9,3,-16.7,2,-18.2,2,-28.6,0,0,0,0,0,0,4,8.2,2.4,4.8,12.0,4.75,3.3,3.7,5.25,10.0,18.0,25.0,2.0,3.1,3.72,3.72,1.86,1.86,1.86,0,3.55,0,0,1.71,3.8,诺维奇,,2038786,,12.0,9.5,18.0,50.0,6.75,6.0,10.5,28.0,8.25,7.0,13.0,38.0,16.0,14.0,28.0,60.0,,,,0.6,2.2,2.4,0球区间铁律,小球,"0,2",,,,,,,,,"0,2",1.0,1.0,0,"['首选0球(变0%,n=2)', '双选0球+2球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
3.2,2:2,4,雷克斯汉姆,0,0,1,7.1,3,3.2,3,2.8,1,-1.6,3,-12.5,2,-18.2,3,-22.9,0,0,0,0,0,0,1,-2.1,2.7,5.4,10.0,4.5,3.25,3.7,6.0,10.5,18.0,27.0,2.2,3.11,3.15,3.15,2.04,1.1099999999999999,2.04,0,3.7,0,0,1.58,4.43,西布罗姆维奇,,2038787,,10.0,8.75,16.0,45.0,6.5,5.9,10.0,28.0,8.75,7.25,13.0,35.0,18.0,15.0,28.0,70.0,,,,1.6,1.6,2.7,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.4,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.0,3:2,5,德比郡,0,0,2,-2.6,2,0,1,-2.9,2,2.0,1,4.4,1,7.1,0,0,0,0,0,0,0,0,0,0,2.4,4.8,15.0,5.55,3.7,3.3,5.0,8.35,15.0,21.0,2.8,3.8,4.8,4.8,1.52,3.28,1.52,0,3.28,0,0,2.15,2.78,考文垂,,2038792,,15.0,15.0,28.0,90.0,7.4,7.0,13.0,45.0,7.25,6.75,14.5,40.0,11.0,10.5,21.0,55.0,,,,1.4,0.6,2.4,中,大球,"0,1",,,,,,,,,"3,4,5",2.2,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.2,2:2,4,牛津联,0,0,1,1.3,2,0,2,0,0,0,2,-7.7,1,4.2,1,5.7,0,0,0,0,0,0,1,-3.2,2.6,5.2,9.0,4.0,3.1,3.75,6.5,12.0,25.0,37.0,3.0,2.95,3.92,3.92,1.87,2.05,1.87,0,3.45,0,0,1.72,3.88,朴次茅斯,,2038864,,9.0,9.0,20.0,65.0,5.7,6.0,11.0,42.0,7.5,7.25,15.5,55.0,13.5,15.0,30.0,90.0,,,,1.2,1.0,2.6,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",0.8,2.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
1.8,1:2,3,诺维奇,1,-8.3,1,-3.9,1,-1.4,0,0,0,0,1,7.1,1,11.8,1,15.4,0,0,0,0,0,0,0,0,2.2,4.4,11.0,4.9,3.45,3.45,5.2,9.85,19.0,30.0,2.6,3.32,3.25,3.32,1.92,1.4,1.92,0,3.65,0,0,1.66,3.95,米尔沃尔,,2038865,,11.0,10.5,15.0,40.0,7.5,6.5,9.0,26.0,10.0,7.25,11.5,32.0,20.0,14.0,22.0,60.0,,,,1.2,0.6,2.2,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
1.2,2:1,3,伯明翰,0,0,1,0.9,1,-4.3,2,-5.8,1,1.9,3,11.1,3,18.8,2,12.5,0,0,0,0,0,0,0,0,1.9,3.8,13.0,5.35,3.3,3.25,5.25,10.0,19.0,27.0,2.6,4.05,5.95,5.95,1.4,4.550000000000001,1.4,0,3.22,0,0,2.47,2.42,伊普斯维奇,,2038869,,13.0,15.5,30.0,90.0,7.0,7.0,13.5,55.0,7.0,6.5,14.0,55.0,11.0,10.0,22.0,75.0,,,,0.4,0.8,1.9,中,大球,"0,1",,,,,,,,,"3,4,5",1.6,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
2.4,0:0,0,西布罗姆维奇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-8.2,1.9,3.8,8.0,3.85,3.0,3.8,7.0,15.0,27.0,38.0,1.4,2.67,2.5,2.82,2.5,0.31999999999999984,2.82,1.0,4.0,0,1,6.25,1.39,布莱克本,,2038870,,8.0,6.8,10.5,29.0,6.85,5.25,8.5,24.0,11.0,8.75,14.5,35.0,30.0,25.0,40.0,75.0,,,,1.6,0.8,1.9,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.8,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰冠军联赛,联赛,次级联赛,欧洲,五大次级联赛,英格兰冠军联赛
