a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.8,4:0,4,狼队,0,0,2,7.0,1,2.8,3,-10.1,1,2.0,1,2.8,2,5.9,1,4.0,0,0,0,0,0,0,1,3.7,2.7,5.4,13.0,5.35,3.65,3.1,5.2,9.25,18.0,26.0,2.6,3.68,4.45,4.45,1.58,2.87,1.58,0,3.2,0,0,2.04,3.06,西汉姆联,,2038978,,13.0,13.0,25.0,60.0,7.5,6.5,12.0,34.0,7.75,6.5,12.5,36.0,13.0,12.0,21.0,55.0,,,,1.4,1.4,2.7,弱,大球,"0,1",,,,,,,,,"0,1,2",1.2,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
1.2,1:2,3,伯恩茅斯,3,-5.6,3,-4.8,3,-2.5,1,2.9,3,2.2,3,2.9,2,0,2,0,0,0,0,0,0,0,1,-1.3,1.6,3.2,17.0,6.0,3.9,3.55,4.7,7.2,12.5,17.0,2.0,4.35,6.3,6.3,1.35,4.949999999999999,1.35,0,3.42,0,0,2.7,2.15,阿森纳,,2039009,,17.0,20.0,50.0,150.0,7.5,8.5,17.0,60.0,6.75,6.75,15.5,50.0,9.5,9.0,20.0,55.0,,,,0.6,0.6,1.6,近小球+0球过高→大球,大球,"0,1",,,,,,,,,"3,4,5",1.2,0.8,0,"['首选0球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
2.6,2:2,4,埃弗顿,0,0,3,3.3,3,6.2,1,-1.4,2,0,3,-4.8,2,-15.8,2,-16.7,0,0,0,0,0,0,0,0,2.8,5.6,11.0,4.75,3.45,3.5,5.7,10.0,16.0,25.0,3.0,3.05,3.2,3.2,2.05,1.1500000000000004,2.05,0,3.75,0,0,1.57,4.45,布伦特福德,,2039019,,11.0,10.0,16.0,50.0,7.5,6.0,9.5,28.0,9.5,6.75,12.0,32.0,17.0,14.0,25.0,55.0,,,,1.6,1.0,2.8,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",1.6,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
1.8,2:0,2,富勒姆,0,0,1,5.9,1,3.7,1,-2.9,1,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,2.4,4.8,21.0,7.2,4.25,3.4,4.25,6.75,12.0,14.0,3.0,4.0,4.26,4.26,1.55,2.71,1.55,0,3.45,0,0,2.1,2.75,利物浦,,2039024,,21.0,17.5,30.0,80.0,9.5,8.0,12.0,34.0,8.75,6.75,12.0,33.0,12.0,10.0,17.0,40.0,,,,1.0,0.8,2.4,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",1.2,1.8,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
3.0,1:1,2,阿斯顿维拉,0,0,1,10.6,1,4.6,0,0,1,-5.5,1,-10.0,1,-10.5,1,-13.8,0,0,0,0,0,0,1,2.0,2.4,4.8,12.0,5.2,3.4,3.55,5.2,9.0,17.0,25.0,1.8,3.15,2.74,3.15,2.24,0.9099999999999997,2.24,0,3.95,0,0,1.48,5.0,诺丁汉森林,,2039043,,12.0,9.5,14.0,33.0,8.25,5.75,8.0,20.0,11.5,7.5,11.5,27.0,24.0,17.0,24.0,55.0,,,,1.8,1.2,2.4,修正(否决),大球,"0,2",,,,,,,,,"3,4,5",1.2,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
3.8,2:1,3,纽卡斯尔联,2,-14.3,2,-12.3,2,-4.2,0,0,3,8.2,3,17.6,2,13.3,2,21.7,0,0,0,0,0,0,0,0,2.8,5.6,12.0,5.0,3.45,3.4,5.3,9.7,17.0,28.0,1.8,3.33,2.09,3.33,2.09,1.2400000000000002,2.85,1.0,3.85,0,1,4.4,1.56,水晶宫,,2039044,,12.0,9.0,11.0,22.0,10.0,6.25,7.0,16.0,16.0,8.5,11.0,24.0,33.0,21.0,28.0,45.0,,,,1.2,2.6,2.8,0球区间铁律,小球,"0,1",,,,,,,,,"0,1,2",1.4,0.4,0,"['首选0球(变0%,n=2)', '双选0球+1球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
4.2,1:0,1,托特纳姆热刺,1,18.2,1,8.7,1,4.6,0,0,1,-7.0,1,-9.5,1,-15.8,1,-23.3,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,13.0,5.0,3.4,3.55,5.3,9.5,16.0,23.0,1.6,3.19,2.28,3.19,2.28,0.9100000000000001,2.65,0,4.25,0,0,1.36,6.3,桑德兰,,2039045,,13.0,8.0,12.0,26.0,9.0,6.0,7.5,17.0,12.5,8.0,11.0,25.0,27.0,21.0,28.0,50.0,,,,1.4,2.8,2.9,0球区间铁律,大球,"0,1",,,,,,,,,"3,4,5",0.8,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
2.8,0:3,3,曼彻斯特城,1,4.8,1,5.7,1,2.4,0,0,1,-4.5,1,-3.7,0,0,0,0,0,0,0,0,0,0,2,3.8,3.5,7.0,22.0,7.4,4.2,3.45,4.2,6.5,11.5,15.0,4.2,3.8,1.75,3.8,1.75,2.05,3.4,1.0,3.7,0,1,3.26,1.81,切尔西,,2039053,,22.0,11.0,11.5,18.0,16.0,8.0,6.75,11.0,22.0,10.0,10.5,16.0,45.0,20.0,23.0,33.0,,,,1.6,1.2,3.5,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",1.8,2.4,0,"['首选1球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
1.6,0:0,0,富勒姆,2,25.0,3,13.6,3,11.0,1,-2.9,3,-8.2,4,-11.8,3,-10.3,3,-22.7,0,0,0,0,0,0,0,0,2.0,4.0,17.5,6.25,4.05,3.35,4.5,7.5,13.0,17.0,2.4,3.5,3.28,3.5,1.86,1.64,1.86,0,3.7,0,0,1.71,3.65,布伦特福德,,2039158,,17.5,14.0,22.0,50.0,8.75,7.0,9.0,24.0,9.75,7.0,11.0,26.0,17.0,12.0,18.0,40.0,,,,0.6,1.0,2.0,近小球+0球过高→大球,大球,"0,2",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
3.4,3:0,3,狼队,2,18.2,2,11.7,2,9.1,1,-2.8,2,-10.7,2,-10.0,2,-21.1,2,-17.2,0,0,0,0,0,0,2,8.3,2.7,5.4,13.0,5.25,3.6,3.45,5.0,9.0,15.0,24.0,2.0,4.0,6.25,6.25,1.39,4.86,1.39,0,3.3,0,0,2.5,2.35,利兹联,,2039168,,13.0,15.0,35.0,120.0,6.2,8.0,18.0,55.0,6.5,6.5,15.0,50.0,10.5,10.0,21.0,70.0,,,,1.4,2.0,2.7,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.4,0.6,0,"['首选0球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
1.8,1:2,3,伯恩茅斯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,5.4,21.0,7.0,4.2,3.45,4.4,6.5,11.5,15.0,3.6,3.52,2.98,3.52,1.96,1.56,1.96,0,3.96,0,0,1.63,3.8,纽卡斯尔联,,2039169,,21.0,14.0,21.0,48.0,10.5,7.5,9.25,21.0,12.0,7.0,10.5,22.0,19.0,12.5,17.5,32.0,,,,1.0,0.8,2.7,弱(高球不动降权),大球,"1,2",,,,,,,,,"1,2,3",1.2,2.4,0,"['首选1球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,英格兰超级联赛,联赛,顶级联赛,欧洲,五大联赛,英格兰超级联赛
