a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
2.0,4:2,6,圣克拉拉,0,0,2,5.9,2,6.8,2,-7.2,3,-10.0,2,3.5,2,12.5,2,13.0,0,0,0,0,0,0,1,-2.5,2.6,5.2,14.0,5.4,3.9,3.2,4.5,8.9,18.0,26.0,3.2,5.35,12.5,12.5,1.16,11.34,1.16,0,3.9,0,0,1.84,3.03,里斯本竞技,,2038794,,14.0,24.0,100.0,550.0,5.8,10.0,34.0,200.0,4.9,7.5,30.0,200.0,6.0,10.5,35.0,250.0,,,,1.4,0.6,2.6,强(防守一致),大球,"0,1",,,,,,,,,"3,4,5",2.0,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
1.4,2:2,4,法马利康,1,-7.7,3,-3.0,4,2.9,5,-2.9,5,0,3,5.6,4,5.6,4,15.4,0,0,0,0,0,0,0,0,2.2,4.4,12.0,4.85,3.55,3.35,5.2,9.5,19.0,30.0,3.0,4.15,7.3,7.3,1.33,5.97,1.33,0,3.18,0,0,2.78,2.2,波尔图,,2038834,,12.0,15.0,55.0,200.0,5.65,7.25,19.0,100.0,5.75,6.75,21.0,90.0,8.25,10.5,28.0,120.0,,,,1.2,0.2,2.2,强(防守一致),大球,"0,1",,,,,,,,,"5,6,7",2.2,0.8,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
3.2,1:1,2,本菲卡,1,5.0,2,6.2,2,4.9,3,-7.1,3,-6.8,1,3.6,1,8.3,1,6.7,0,0,0,0,0,0,0,0,2.9000000000000004,5.800000000000001,21.0,6.9,4.3,3.25,4.1,7.25,13.0,16.0,2.6,99.0,99.0,99.0,99.0,0.0,99.0,2.0,3.65,0,1,2.52,2.18,卡萨皮亚,,2038877,,21.0,7.0,5.8,6.5,30.0,11.0,7.5,9.0,100.0,32.0,26.0,28.0,400.0,175.0,120.0,150.0,,,,2.0,1.2,2.9,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",0.8,1.8,0,"['首选1球(变0%,n=2)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
1.8,1:1,2,摩雷伦斯,0,0,1,-3.5,1,3.1,1,-2.8,0,0,0,0,1,4.5,1,10.0,0,0,0,0,0,0,1,3.4,1.8,3.6,10.5,4.15,3.35,3.5,5.9,11.0,23.0,33.0,1.8,4.16,7.0,7.0,1.34,5.66,1.34,0,3.05,0,0,2.66,2.35,法马利康,,2038982,,10.5,13.0,35.0,120.0,5.5,6.7,16.0,70.0,6.3,6.75,17.0,70.0,9.0,12.0,28.0,120.0,,,,0.4,1.4,1.8,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.2,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
3.6,0:1,1,里斯本竞技,1,20.0,3,17.5,3,8.5,2,-5.7,3,-9.1,2,0,1,-4.2,1,-9.4,0,0,0,0,0,0,0,0,3.1,6.2,24.0,7.4,4.45,3.3,4.0,7.0,11.5,14.5,2.6,5.95,1.14,12.0,1.14,10.86,12.0,2.0,3.9,0,1,2.64,2.03,阿马多拉,,2039030,,24.0,7.5,6.0,6.9,27.0,10.0,7.0,9.5,80.0,28.0,21.0,26.0,400.0,150.0,90.0,85.0,,,,2.2,1.4,3.1,强,大球,"1,2",,,,,,,,,"3,4,5",1.4,1.2,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
2.8,1:3,4,波尔图,0,0,1,1.7,2,8.0,5,-13.2,5,-12.5,4,20.0,4,28.6,3,35.0,0,0,0,0,0,0,2,7.1,2.5999999999999996,5.199999999999999,16.0,6.1,4.05,2.95,4.2,9.0,18.0,27.0,2.4,4.7,1.27,7.75,1.27,6.48,7.75,1.0,3.25,0,1,2.05,3.0,埃斯托里尔,,2039060,,16.0,7.0,6.5,9.0,18.0,7.75,6.5,10.0,50.0,15.0,15.0,20.0,120.0,70.0,60.0,100.0,,,,2.0,0.8,2.6,强(防守一致),大球,"0,1",,,,,,,,,"5,6,7",0.8,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
3.0,2:2,4,吉维森特,0,0,1,-6.3,0,0,0,0,1,7.7,1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,2.7,5.4,8.5,3.7,3.15,3.7,7.0,14.0,26.0,38.0,2.4,3.18,1.77,4.0,1.77,2.23,4.0,1.0,3.16,0,1,3.88,1.8,通德拉,,2039068,,8.5,5.8,7.8,16.0,8.8,5.8,7.0,16.0,17.0,11.0,15.0,30.0,50.0,36.0,50.0,100.0,,,,1.6,1.4,2.7,弱(矛盾留空),大球,"0,1",,,,,,,,,"0,1,2",0.8,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
1.2,2:2,4,阿维斯SAD,0,0,2,-4.3,1,-3.0,1,-2.9,2,9.1,2,10.0,1,5.6,0,0,0,0,0,0,0,0,2,-10.4,1.7999999999999998,3.5999999999999996,12.0,4.5,3.25,3.4,6.0,11.0,19.0,27.0,2.4,3.6,4.95,4.95,1.54,3.41,1.54,0,3.15,0,0,2.12,2.94,里奥阿维,,2039145,,12.0,11.0,26.0,100.0,6.3,6.5,13.0,50.0,6.8,6.8,15.0,50.0,12.0,11.0,24.0,100.0,,,,0.2,1.0,1.8,弱,大球,"0,1",,,,,,,,,"0,1,2",1.6,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
2.8,1:2,3,本菲卡,0,0,1,4.0,1,-4.2,1,-1.5,0,0,1,5.9,0,0,1,7.1,0,0,0,0,0,0,0,0,2.7,5.4,13.0,5.2,3.4,3.35,5.2,9.0,18.0,30.0,2.6,3.02,3.3,3.3,2.02,1.2799999999999998,2.02,0,3.55,0,0,1.6,4.5,里斯本竞技,,2039201,,13.0,9.5,14.0,37.0,7.6,6.2,8.5,22.0,10.5,7.0,12.0,27.0,20.0,15.0,22.0,55.0,,,,2.0,0.8,2.7,弱,大球,"0,1",,,,,,,,,"0,1,2",1.8,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
2.2,2:2,4,法马利康,0,0,1,-4.3,0,0,0,0,1,1.8,0,0,1,5.6,1,7.1,0,0,0,0,0,0,3,-12.0,2.4000000000000004,4.800000000000001,12.0,4.5,3.35,3.5,5.6,10.0,19.0,30.0,2.6,3.25,3.55,3.55,1.86,1.6899999999999997,1.86,0,3.55,0,0,1.72,3.75,布拉加,,2039205,,12.0,10.5,21.0,60.0,6.8,6.8,11.0,34.0,8.0,6.8,13.0,35.0,13.5,12.0,23.0,70.0,,,,1.4,0.8,2.4,弱,大球,"0,1",,,,,,,,,"0,1,2",1.6,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,葡萄牙超级联赛,联赛,次级联赛,欧洲,欧洲二级联赛,葡萄牙超级联赛
