a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
3.6,1:0,1,埃尔切,1,8.3,1,7.5,0,0,1,-2.8,1,-4.5,1,-2.5,1,-5.6,0,0,0,0,0,0,0,0,0,0,2.8,5.6,13.0,5.0,3.35,3.45,5.25,9.75,17.0,27.0,2.0,3.52,4.26,4.26,1.64,2.62,1.64,0,3.2,0,0,1.99,3.18,巴列卡诺,,2038793,,13.0,13.0,23.0,60.0,6.5,6.25,11.5,40.0,7.5,6.75,14.0,50.0,12.5,12.5,23.0,75.0,,,,1.6,2.0,2.8,0球区间铁律,大球,"0,1",,,,,,,,,"3,4,5",1.0,1.0,0,"['首选0球(变0%,n=1)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.0,2:0,2,莱万特,3,42.9,4,27.4,4,13.9,3,7.4,4,-13.0,4,-17.6,4,-31.2,4,-43.8,0,0,0,0,0,0,0,0,3.0,6.0,20.0,6.75,4.1,3.65,4.35,7.0,11.0,13.5,3.0,4.2,5.65,5.65,1.4,4.25,1.4,0,3.15,0,0,2.48,2.45,皇家社会,,2038814,,20.0,18.0,33.0,80.0,8.0,7.5,15.0,40.0,7.5,6.75,13.0,40.0,10.0,11.0,20.0,45.0,,,,1.6,1.4,3.0,强,大球,"2,3",,,,,,,,,"3,4,5",1.6,1.4,0,"['首选2球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.8,2:1,3,皇家马德里,2,17.6,3,14.8,3,5.1,4,5.9,3,-7.4,4,-12.0,4,-17.9,4,-15.8,0,0,0,0,0,0,1,7.1,3.2,6.4,20.0,6.6,4.1,3.6,4.35,6.6,11.5,16.0,2.6,4.42,1.41,5.15,1.41,3.74,5.15,1.0,3.5,0,1,2.26,2.49,马洛卡,,2038823,,20.0,8.0,8.0,10.0,17.0,7.75,6.75,10.0,31.0,15.0,14.0,18.0,90.0,45.0,40.0,50.0,,,,2.8,1.0,3.2,强(防守一致),大球,"1,2",,,,,,,,,"3,4,5",1.0,1.6,0,"['首选1球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐1球(反方向)→谨慎', '双选1球+2球']",1,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.6,0:0,0,西班牙人,0,0,2,8.3,3,-2.9,3,-1.4,1,3.8,2,-3.2,2,-5.6,2,-10.0,0,0,0,0,0,0,1,4.5,3.0,6.0,12.0,5.2,3.35,3.4,5.5,9.2,17.0,27.0,2.4,3.85,5.05,5.05,1.49,3.5599999999999996,1.49,0,2.95,0,0,2.21,2.96,皇家贝蒂斯,,2038828,,12.0,12.0,24.0,75.0,6.5,6.5,13.0,50.0,7.5,6.75,13.5,50.0,11.5,12.0,20.0,70.0,,,,1.4,2.2,3.0,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
4.0,1:2,3,巴塞罗那,2,20.0,3,16.7,3,8.9,2,7.1,2,-5.9,2,-8.8,2,-10.0,2,-23.1,0,0,0,0,0,0,1,6.7,4.3,8.6,30.0,8.75,4.9,3.75,4.0,5.7,9.0,10.0,4.6,3.75,1.9,3.75,1.9,1.85,2.97,1.0,3.85,0,1,3.55,1.7,马德里竞技,,2038832,,30.0,13.0,14.0,21.0,17.0,8.0,7.75,13.0,23.0,9.5,9.5,14.0,36.0,18.0,19.0,25.0,,,,2.8,1.2,4.3,强(防守一致),大球,"2,3",,,,,,,,,"3,4,5",2.6,2.0,0,"['首选2球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐2球(反方向)→谨慎', '双选2球+3球']",2,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
2.0,2:0,2,毕尔巴鄂竞技,0,0,1,1.6,2,3.4,0,0,1,-10.5,2,-13.0,2,12.5,3,0,0,0,0,0,0,0,0,0,1.8,3.6,5.5,3.15,3.05,4.5,8.5,20.0,45.0,65.0,1.6,2.7,2.28,3.12,2.28,0.8400000000000003,3.12,1.0,3.6,0,1,5.85,1.47,赫塔费,,2038844,,5.5,5.3,9.5,28.0,6.25,5.4,9.5,28.0,12.0,10.5,18.0,45.0,35.0,35.0,60.0,125.0,,,,0.6,1.4,1.8,修正(否决),大球,"0,1",,,,,,,,,"3,4,7",1.0,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.2,2:3,5,维戈塞尔塔,0,0,1,7.6,0,0,0,0,0,0,1,-7.7,1,-12.0,1,-18.4,0,0,0,0,0,0,2,5.7,2.8,5.6,9.0,4.25,3.1,3.7,6.5,12.0,22.0,31.0,2.4,2.8,2.92,2.92,2.33,0.5899999999999999,2.33,0,3.9,0,0,1.45,5.5,巴伦西亚,,2038850,,9.0,7.25,12.0,30.0,6.8,5.6,8.7,25.0,10.5,8.2,12.0,35.0,24.0,22.0,30.0,70.0,,,,1.6,1.6,2.8,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.4,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.2,1:0,1,塞维利亚,0,0,2,-2.7,2,3.3,1,3.9,1,-0.7,1,-6.7,1,-10.7,1,-11.1,0,0,0,0,0,0,2,3.7,2.9000000000000004,5.800000000000001,7.5,3.6,3.15,4.0,7.2,14.0,25.0,40.0,2.6,2.9,2.55,2.9,2.55,0.3500000000000001,2.55,0,4.0,0,0,1.39,6.3,皇家奥维耶多,,2038857,,7.5,6.6,11.0,28.0,6.6,5.5,8.75,25.0,11.0,8.75,14.0,38.0,28.0,25.0,38.0,90.0,,,,1.2,2.0,2.9,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.8,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
2.6,2:2,4,奥萨苏纳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.4,3.3,6.6,9.0,4.1,3.15,3.65,6.3,12.5,25.0,35.0,4.0,2.78,2.7,2.78,2.51,0.27,2.51,0,4.05,0,0,1.4,5.95,阿拉维斯,,2038861,,9.0,7.5,12.0,28.0,7.25,5.7,8.5,23.0,11.0,8.25,12.5,30.0,26.0,22.0,28.0,70.0,,,,1.2,1.4,3.3,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.8,2.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
3.4,1:0,1,比利亚雷亚尔,0,0,1,4.3,1,2.6,2,-4.3,1,-4.3,1,6.7,0,0,0,0,0,0,0,0,0,0,1,-5.0,3.0,6.0,16.0,6.0,3.95,3.3,4.5,8.0,14.0,20.0,2.6,3.38,2.01,3.38,2.01,1.37,2.98,1.0,3.76,0,1,4.2,1.6,赫罗纳,,2038876,,16.0,9.25,11.5,20.0,11.5,6.25,7.25,14.0,17.0,9.0,11.0,19.0,35.0,20.0,23.0,45.0,,,,1.8,1.6,3.0,中(防守矛盾⚠️),大球,"0,2",,,,,,,,,"3,4,5",1.4,1.2,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,西班牙甲级联赛,联赛,顶级联赛,欧洲,五大联赛,西班牙甲级联赛
