a_form,actual_score,actual_total,away_team,ch_g0_cnt,ch_g0_pct,ch_g1_cnt,ch_g1_pct,ch_g2_cnt,ch_g2_pct,ch_g3_cnt,ch_g3_pct,ch_g4_cnt,ch_g4_pct,ch_g5_cnt,ch_g5_pct,ch_g6_cnt,ch_g6_pct,ch_g7_cnt,ch_g7_pct,ch_had_平_cnt,ch_had_平_pct,ch_had_胜_cnt,ch_had_胜_pct,ch_had_负_cnt,ch_had_负_pct,ch_pp_cnt,ch_pp_pct,form_avg,form_sum,g0,g1,g2,g3,g4,g5,g6,g7,h_form,had_d,had_l,had_max,had_min,had_range,had_w,hhad_ball,hhad_d,hhad_is_guest_give,hhad_is_home_give,hhad_l,hhad_w,home_team,match_date,match_id,match_num,score_0_0,score_0_1,score_0_2,score_0_3,score_1_0,score_1_1,score_1_2,score_1_3,score_2_0,score_2_1,score_2_2,score_2_3,score_3_0,score_3_1,score_3_2,score_3_3,top1_score,top2_score,top3_score,v36_a_att,v36_a_def,v36_combined_avg,v36_conf,v36_dir,v36_double,v36_excl_0,v36_excl_1,v36_excl_2,v36_excl_3,v36_excl_4,v36_excl_5,v36_excl_6,v36_excl_7,v36_goals,v36_h_att,v36_h_def,v36_heat,v36_reason,v36_single,league,match_type,tier,region,league_group,league_subgroup
1.8,2:0,2,蔚山现代,0,0,1,2.3,1,1.5,0,0,1,-3.5,1,-4.5,0,0,0,0,0,0,0,0,0,0,2,0,2.0,4.0,11.0,4.45,3.3,3.55,5.55,10.5,21.0,32.0,2.2,3.1,2.98,3.1,2.12,0.98,2.12,0,3.78,0,0,1.55,4.55,全北现代,,2038806,,11.0,9.0,14.0,38.0,7.5,6.0,9.0,25.0,9.75,7.0,13.0,30.0,19.0,16.0,25.0,65.0,,,,1.4,0.4,2.0,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.4,3:0,3,光州FC,0,0,0,0,1,3.3,1,2.7,0,0,2,-7.1,2,-14.8,2,-20.0,0,0,0,0,0,0,1,-1.0,1.7999999999999998,3.5999999999999996,8.5,3.85,3.15,3.85,6.75,13.0,23.0,32.0,1.2,3.38,6.0,6.0,1.5,4.5,1.5,0,2.94,0,0,2.22,2.95,江原FC,,2038809,,8.5,11.5,35.0,125.0,4.85,6.5,17.0,80.0,6.0,7.0,20.5,80.0,9.5,14.0,36.0,125.0,,,,0.8,1.6,1.8,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.4,0.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.6,1:1,2,首尔FC,3,0,3,0,3,0,2,0,3,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,2.4000000000000004,4.800000000000001,9.5,4.0,3.15,3.7,6.2,13.0,22.0,36.0,2.2,3.2,1.77,3.97,1.77,2.2,3.97,1.0,3.3,0,1,3.75,1.79,安养FC,,2038837,,9.5,5.4,7.7,15.0,9.0,5.9,7.1,14.0,17.0,13.0,15.0,28.0,60.0,40.0,60.0,80.0,,,,1.8,0.8,2.4,弱(高球不动降权),大球,"0,1",,,,,,,,,"0,1,2",1.0,1.2,0,"['首选0球(变0%,n=3)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
1.6,2:1,3,金泉尚武,0,0,1,2.5,1,1.6,0,0,0,0,1,-7.7,1,-8.3,1,-5.6,0,0,0,0,0,0,0,0,2.3,4.6,9.0,4.1,3.15,3.75,6.35,12.0,22.0,34.0,3.0,2.96,2.93,2.96,2.22,0.7399999999999998,2.22,0,3.7,0,0,1.5,5.2,仁川联,,2038840,,9.0,7.2,12.5,30.0,6.75,5.5,8.5,24.0,10.5,8.0,14.0,38.0,24.0,20.0,30.0,80.0,,,,0.8,0.8,2.3,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.2,1.8,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
1.6,1:0,1,全北现代,4,-14.3,6,-1.2,0,0,2,0,3,4.2,4,4.2,5,9.5,3,13.3,0,0,0,0,0,0,1,-4.2,2.2,4.4,9.0,4.25,3.15,3.6,6.25,12.5,23.0,34.0,2.8,2.92,2.84,2.92,2.3,0.6200000000000001,2.3,0,3.83,0,0,1.48,5.2,首尔FC,,2039003,,9.0,8.5,13.0,33.0,7.0,5.5,8.5,28.0,10.0,7.7,13.5,38.0,21.0,18.0,30.0,70.0,,,,1.2,0.4,2.2,强(防守强化),大球,"0,2",,,,,,,,,"3,4,5",2.0,0.8,0,"['首选0球(变0%,n=4)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+2球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.2,1:2,3,蔚山现代,0,0,2,3.8,1,3.2,1,1.4,1,-3.8,3,-11.5,3,-8.3,3,-8.6,0,0,0,0,0,0,1,5.4,2.6,5.2,9.0,4.15,3.25,3.7,6.25,11.5,22.0,32.0,3.0,2.95,2.31,2.95,2.31,0.6400000000000001,2.8,1.0,3.75,0,1,5.65,1.46,仁川联,,2039006,,9.0,7.2,11.0,27.0,7.5,5.6,8.0,21.0,11.5,8.5,14.0,29.0,28.0,22.0,30.0,75.0,,,,1.4,0.8,2.6,强(防守强化),大球,"0,1",,,,,,,,,"3,4,5",1.4,1.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.2,1:1,2,安养FC,0,0,1,4.9,0,0,0,0,1,-3.2,1,-8.0,0,0,0,0,0,0,0,0,0,0,1,-5.3,2.0,4.0,9.5,4.3,3.15,3.65,6.0,11.5,23.0,35.0,1.8,2.9,3.05,3.05,2.19,0.8599999999999999,2.19,0,3.45,0,0,1.52,5.5,金泉尚武,,2039034,,9.5,8.5,15.0,45.0,6.75,5.8,9.5,26.0,9.5,7.0,14.0,35.0,20.0,16.5,28.0,70.0,,,,1.0,1.2,2.0,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.8,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
1.8,1:1,2,金泉尚武,0,0,1,2.4,2,-1.6,1,-2.7,1,4.7,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1.9,3.8,9.0,4.2,3.1,3.6,6.7,12.0,23.0,35.0,2.0,2.88,2.2,3.05,2.2,0.8499999999999996,3.05,1.0,3.75,0,1,5.1,1.5,济州SK,,2039155,,9.0,6.8,10.0,22.0,8.5,5.25,7.8,19.0,14.0,9.0,13.0,30.0,33.0,25.0,35.0,70.0,,,,0.8,1.0,1.9,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",1.0,1.0,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.2,5:1,6,光州FC,0,0,1,3.6,1,-3.1,1,-2.7,1,3.3,0,0,0,0,1,10.0,0,0,0,0,0,0,1,1.8,2.3,4.6,10.0,4.35,3.1,3.55,6.2,12.0,22.0,33.0,2.4,3.85,6.65,6.65,1.39,5.260000000000001,1.39,0,3.15,0,0,2.5,2.43,蔚山现代,,2039179,,10.0,13.0,35.0,150.0,5.25,6.7,18.0,75.0,6.0,7.0,19.0,75.0,9.0,12.0,30.0,100.0,,,,0.2,2.0,2.3,中(防守矛盾⚠️),大球,"0,1",,,,,,,,,"3,4,5",1.0,1.4,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
2.0,0:1,1,安养FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.5,3.0,7.5,3.65,3.1,3.85,7.0,16.0,28.0,45.0,1.0,2.85,3.1,3.1,2.2,0.8999999999999999,2.2,0,3.55,0,0,1.51,5.4,浦项制铁,,2039183,,7.5,8.0,14.5,45.0,6.25,5.2,10.0,32.0,9.0,7.5,15.0,45.0,22.0,19.0,35.0,80.0,,,,0.8,1.2,1.5,修正(否决),大球,"0,1",,,,,,,,,"3,4,5",0.4,0.6,0,"['首选0球(变0%,n=0)', '⚠️方向冲突: Step0=大球但推荐0球(反方向)→谨慎', '双选0球+1球']",0,韩国职业联赛,联赛,其他联赛,亚洲,亚洲联赛,韩国职业联赛
